"","source_st","target_st"
"1",1,68
"2",2,39
"3",2,10
"4",2,35
"5",3,55
"6",4,59
"7",4,129
"8",4,36
"9",4,24
"10",4,33
"11",4,133
"12",5,13
"13",5,19
"14",5,49
"15",5,69
"16",6,40
"17",6,24
"18",6,33
"19",6,106
"20",6,114
"21",6,91
"22",6,104
"23",6,20
"24",6,134
"25",6,66
"26",7,134
"27",7,54
"28",7,70
"29",7,49
"30",7,110
"31",8,133
"32",8,88
"33",8,56
"34",9,101
"35",9,77
"36",10,98
"37",10,84
"38",10,39
"39",10,86
"40",10,101
"41",10,105
"42",10,2
"43",10,35
"44",11,11
"45",12,69
"46",12,133
"47",12,134
"48",12,92
"49",12,91
"50",12,110
"51",12,106
"52",12,114
"53",13,103
"54",13,19
"55",13,5
"56",14,105
"57",15,100
"58",16,28
"59",17,77
"60",17,73
"61",17,79
"62",17,9
"63",17,101
"64",17,69
"65",19,82
"66",18,13
"67",20,103
"68",21,5
"69",22,69
"70",23,135
"71",24,129
"72",24,59
"73",24,33
"74",24,69
"75",24,114
"76",24,36
"77",25,111
"78",25,69
"79",25,88
"80",25,121
"81",26,127
"82",26,136
"83",27,11
"84",27,53
"85",28,16
"86",28,113
"87",28,55
"88",28,21
"89",28,104
"90",29,50
"91",29,32
"92",29,85
"93",30,111
"94",30,68
"95",30,25
"96",31,74
"97",31,18
"98",20,134
"99",20,92
"100",20,69
"101",20,62
"102",20,70
"103",32,29
"104",32,50
"105",32,85
"106",32,48
"107",32,58
"108",32,131
"109",33,129
"110",33,24
"111",33,36
"112",33,59
"113",34,117
"114",34,52
"115",34,35
"116",35,65
"117",35,117
"118",35,34
"119",35,99
"120",36,129
"121",36,59
"122",36,4
"123",36,33
"124",36,24
"125",37,64
"126",38,67
"127",38,86
"128",38,89
"129",38,44
"130",39,119
"131",39,10
"132",39,2
"133",40,44
"134",40,105
"135",41,87
"136",41,75
"137",41,73
"138",41,117
"139",41,105
"140",41,124
"141",41,135
"142",41,45
"143",41,34
"144",42,96
"145",42,46
"146",43,94
"147",43,137
"148",44,40
"149",44,67
"150",44,105
"151",44,66
"152",45,98
"153",45,89
"154",45,117
"155",45,99
"156",45,41
"157",45,87
"158",45,10
"159",46,42
"160",46,88
"161",46,80
"162",46,138
"163",46,130
"164",46,71
"165",47,128
"166",47,132
"167",47,123
"168",48,58
"169",48,97
"170",48,135
"171",48,32
"172",48,85
"173",48,50
"174",48,29
"175",48,131
"176",48,23
"177",49,62
"178",49,110
"179",49,69
"180",49,70
"181",49,82
"182",50,94
"183",50,84
"184",50,29
"185",50,32
"186",50,85
"187",51,28
"188",51,113
"189",51,112
"190",52,34
"191",52,117
"192",53,27
"193",53,11
"194",53,16
"195",53,68
"196",54,7
"197",54,49
"198",54,82
"199",55,83
"200",55,28
"201",55,51
"202",55,113
"203",55,104
"204",55,66
"205",55,120
"206",55,68
"207",55,63
"208",55,112
"209",56,122
"210",56,107
"211",57,139
"212",58,48
"213",58,85
"214",58,97
"215",58,29
"216",58,50
"217",58,135
"218",58,32
"219",58,23
"220",59,129
"221",59,24
"222",59,4
"223",59,36
"224",59,88
"225",59,33
"226",60,101
"227",60,79
"228",60,73
"229",60,77
"230",61,76
"231",61,92
"232",61,24
"233",62,49
"234",62,110
"235",62,69
"236",62,70
"237",63,112
"238",64,37
"239",64,95
"240",65,35
"241",65,34
"242",65,14
"243",65,140
"244",65,39
"245",65,117
"246",65,67
"247",66,120
"248",66,67
"249",66,89
"250",66,55
"251",66,68
"252",67,66
"253",67,105
"254",67,21
"255",67,18
"256",67,70
"257",67,14
"258",67,86
"259",67,89
"260",67,116
"261",67,91
"262",67,101
"263",67,121
"264",67,99
"265",67,44
"266",67,40
"267",67,52
"268",67,34
"269",67,117
"270",68,1
"271",68,89
"272",68,111
"273",68,11
"274",68,16
"275",68,66
"276",68,120
"277",69,18
"278",70,21
"279",12,134
"280",24,62
"281",71,107
"282",71,46
"283",72,39
"284",72,101
"285",72,44
"286",72,121
"287",72,79
"288",72,57
