"","from","to"
"1",1,7
"2",1,10
"3",1,12
"4",1,14
"5",1,15
"6",1,18
"7",1,21
"8",1,23
"9",1,25
"10",2,3
"11",2,6
"12",2,7
"13",2,8
"14",2,9
"15",2,12
"16",2,13
"17",2,14
"18",2,15
"19",2,17
"20",2,18
"21",2,22
"22",2,28
"23",3,6
"24",3,7
"25",3,10
"26",3,12
"27",3,13
"28",3,14
"29",3,17
"30",3,18
"31",3,21
"32",3,22
"33",4,14
"34",4,15
"35",4,18
"36",4,25
"37",5,7
"38",5,10
"39",5,12
"40",5,13
"41",5,14
"42",5,17
"43",5,18
"44",5,21
"45",5,22
"46",5,26
"47",6,6
"48",6,9
"49",6,10
"50",6,13
"51",6,16
"52",6,21
"53",6,22
"54",6,23
"55",6,25
"56",6,27
"57",7,7
"58",7,8
"59",7,10
"60",7,12
"61",7,13
"62",7,14
"63",7,15
"64",7,16
"65",7,17
"66",7,18
"67",7,19
"68",7,20
"69",7,24
"70",7,25
"71",7,26
"72",7,27
"73",8,10
"74",8,12
"75",8,13
"76",8,15
"77",8,17
"78",8,18
"79",8,22
"80",8,27
"81",9,14
"82",9,18
"83",9,21
"84",9,25
"85",10,10
"86",10,11
"87",10,12
"88",10,13
"89",10,14
"90",10,15
"91",10,17
"92",10,18
"93",10,19
"94",10,21
"95",10,22
"96",10,23
"97",10,24
"98",10,25
"99",10,26
"100",10,27
"101",10,28
"102",11,12
"103",11,15
"104",11,17
"105",12,12
"106",12,13
"107",12,16
"108",12,18
"109",12,19
"110",12,20
"111",12,21
"112",12,22
"113",12,24
"114",12,27
"115",13,13
"116",13,14
"117",13,15
"118",13,16
"119",13,17
"120",13,18
"121",13,19
"122",13,21
"123",13,22
"124",13,25
"125",13,27
"126",13,28
"127",14,15
"128",14,16
"129",14,17
"130",14,18
"131",14,19
"132",14,21
"133",14,22
"134",14,24
"135",14,25
"136",14,26
"137",14,27
"138",15,15
"139",15,16
"140",15,17
"141",15,18
"142",15,21
"143",15,22
"144",15,24
"145",15,25
"146",15,26
"147",15,27
"148",16,17
"149",16,18
"150",16,25
"151",17,18
"152",17,19
"153",17,20
"154",17,21
"155",17,22
"156",17,23
"157",17,25
"158",17,26
"159",17,27
"160",18,21
"161",18,22
"162",18,23
"163",18,24
"164",18,25
"165",18,27
"166",19,19
"167",19,20
"168",19,23
"169",19,24
"170",19,27
"171",19,28
"172",21,23
"173",21,24
"174",21,27
"175",22,28
"176",23,24
"177",25,25
"178",25,26
"179",25,28
"180",26,28
"181",27,27
