name;1915;1917
Allonge;;
Ferrari;;
LeFauconnier;;
PelicierG;;
Pomma;;
Raymondi;;
WoizyC;;
АбрамовАИ;;
АбриЛ;;
АвеншепсГ;;
АветисьянГА;;
АвиловМИ;;15
АгафоновЕА;;
АдамсонАИ;;
АдтКФ;;
АйвазовскийИК;;
АкимоваЮВ;;
АкишинПИ;4;
АккерЭ;;
АксенюкПД;;
АладжаловМХ;;
АлександроваЕВ;;
АлександровНН;;
АлександровскийСФ;;
Александров-ТитовскойНА;;
АлексеевАА;;
АлексеевВВ;;1
АлексеевВМ;;
АлексеевГД;;
АлексеевНВ;14;
АлексоматиНХ;;
АлферьеваСВ;;
АльбрехтЛГ;;
Альквист;;
Альстедт;;
АльтаманН;;
АльтенбергИГ;;
АльхимовичК;;
Аман-Жан;;
АммонВ;;
АммосовСН;;
АмосоваОФ;;
АндерсонЕК;;
АндреевВИ;;
АнзимироваНВ;;
АнисимовВК;;
АнисимовЮП;;
АнисфельдБИ;;
АничковАИ;;
Анкетэн;;
АнтокольскийММ;;
АнтоновАИ;;
Антропова;;
АнтроповИГ;;
АпостолиВА;;
АракелянС;;
АраповАА;;
АронсонНН;;
АрхиповАЕ;;
АрхиповСН;;16
АрчиониГ;;
АскназийИЛ;;
АстафьеваВЛ;;
АтрыганьевН;;
АтрыганьевНА;;
АуэрГД;;
АфанасьевАФ;;
АфанасьевВЯ;;5
Афанасьев-Кокель;;
АхенбахГ;;
АхочинскаяЗП;;
БабутММ;;
Багратион-МухранскаяВН;;
БадовскийАФ;;
БаженовНВ;;
БажинНН;;
БакаловичСВ;;
БаклундЭО;;
БакмансонГК;;
БакстЛС;;
БакшеевВН;;
БалашевПИ;;
БалкСМ;;
БаллодПП;;
БалльерАИ;;
БалунинМА;;
Бальц;;
БарамзинЕВ;;
БарстельсГ;;
БартВС;;
БаруздинаВМ;;
БарынинАА;;
БасинПВ;;
Бастер;;
БатуринВП;;
БауманАГ;;
БауманАЕ;;
БауманАН;;
БахНИ;;
БахРР;;
БахтеевВ;;
БахтинКН;;
БашинджагианГЗ;;
Беггрова-ГартманОФ;;
БеггровАК;;
БегерЛМ;10;
БегичевАР;;
БедросовКП;;
БезверховНП;;
БезродныйМЕ;;
БезродныйМС;;
БезродныйПВ;;
БейгульАН;;
БеккерА;;
БеклемишевВА;;
БёклинА;;
БекряшевНГ;;
БелкинВ;;
Белоусов;;
БелыйАФ;;
БельзенЯЯ;;
БелявскийМК;;
БеляевА;;
БеляковЕЕ;;
БемЕМ;;
БенарА;;
БенигКБ;;
БенкендорфДА;;
БенуаАА;;
БенуаАлекс Н;;
БенуаАльб Н;;
БергВВ;;
БерггольцРА;;
БеридтсонГФ;;
БерингерВВ;;
БеркосМА;;
БерндтсонГФ;;
БернштамЛА;;
БероянАК;;
БерсонА;;
БершадскийЮР;;
Биленкий;;
БилибинИИ;;
БильдерлингАА;;
БиркингерФ;;
БирнбаумСР;;
БлаговещенскийНД;;
БландоваМН;;
БланшЖ;;
БлахеХр;;
БлентА;;
