name;1871;1872;1874;1876;1878;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1895;1896;1897;1898;1899;1900;1904;1906;1907;1908;1909;1911;1917
Allonge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LeFauconnier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PelicierG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pomma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raymondi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WoizyC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АбрамовАИ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АбриЛ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АвеншепсГ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АветисьянГА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АвиловМИ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АгафоновЕА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АдамсонАИ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АдтКФ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АйвазовскийИК;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АкимоваЮВ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АкишинПИ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АккерЭ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АксенюкПД;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АладжаловМХ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АлександроваЕВ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АлександровНН;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АлександровскийСФ;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Александров-ТитовскойНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АлексеевАА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
АлексеевВВ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
