Artist;Gender;Museums
Allonge;0;0
Ferrari;0;0
LeFauconnier;0;0
PelicierG;0;0
Pomma;0;0
Raymondi;0;0
WoizyC;0;0
АбрамовАИ;0;0
АбриЛ;0;0
АвеншепсГ;0;0
АветисьянГА;0;0
АвиловМИ;0;0
АгафоновЕА;0;0
АдамсонАИ;0;0
АдтКФ;0;0
АйвазовскийИК;0;38
АкимоваЮВ;1;0
АкишинПИ;0;0
АккерЭ;0;0
АксенюкПД;0;0
АладжаловМХ;0;0
АлександроваЕВ;1;0
АлександровНН;0;0
АлександровскийСФ;0;0
Александров-ТитовскойНА;0;0
АлексеевАА;0;0
АлексеевВВ;0;0
АлексеевВМ;0;0
АлексеевГД;0;0
АлексеевНВ;0;0
Алексомати;0;0
АлексоматиНХ;0;0
АлферьеваСВ;1;0
АльбрехтЛГ;0;0
Альквист;0;0
Альстедт;0;0
АльтаманН;0;0
АльтенбергИГ;0;0
АльхимовичК;0;0
Аман-Жан;0;0
АммонВ;0;0
АммосовСН;0;0
АмосоваОФ;1;0
АндерсонЕК;0;0
АндреевВИ;0;0
АнзимироваНВ;1;0
АнисимовВК;0;0
АнисимовЮП;0;0
АнисфельдБИ;0;0
АничковАИ;0;0
Анкетэн;0;0
АнтокольскийММ;0;0
АнтоновАИ;0;0
Антропова;1;0
АнтроповИГ;0;0
АпостолиВА;0;0
АракелянС;0;0
АраповАА;0;0
АронсонНН;0;0
АрхиповАЕ;0;3
АрхиповСН;0;0
АрчиониГ;0;0
АскназийИЛ;0;0
АстафьеваВЛ;1;0
АтрыганьевН;0;0
АтрыганьевНА;0;0
АуэрГД;0;0
АфанасьевАФ;0;0
АфанасьевВЯ;0;0
Афанасьев-Кокель;0;0
АхенбахГ;0;0
АхочинскаяЗП;1;0
БабутММ;0;0
Багратион-МухранскаяВН;1;0
БадовскийАФ;0;0
БаженовНВ;0;0
БажинНН;0;0
БакаловичСВ;0;4
БаклундЭО;0;0
БакмансонГК;0;0
БакстЛС;0;5
БакшеевВН;0;1
БалашевПИ;0;0
БалкСМ;0;0
БаллодПП;0;0
БалльерАИ;0;0
БалунинМА;0;0
Бальц;0;0
БарамзинЕВ;0;0
БарстельсГ;0;0
БартВС;0;0
БаруздинаВМ;1;0
БарынинАА;0;0
БасинПВ;0;0
Бастер;0;0
БатуринВП;0;0
БауманАГ;0;0
БауманАЕ;0;0
БауманАН;0;0
БахНИ;0;0
БахРР;0;0
БахтеевВ;0;0
БахтинКН;0;0
БашинджагианГЗ;0;0
Беггрова-ГартманОФ;1;0
БеггровАК;0;0
БегерЛМ;0;0
БегичевАР;0;0
БедросовКП;0;0
БезверховНП;0;0
БезродныйМЕ;0;0
БезродныйМС;0;0
БезродныйПВ;0;0
БейгульАН;0;0
БеккерА;0;0
БеклемишевВА;0;0
БёклинА;0;0
БекряшевНГ;0;0
БелкинВ;0;0
Белоусов;0;0
БелыйАФ;0;0
БельзенЯЯ;0;0
БелявскийМК;0;0
БеляевА;0;0
БеляковЕЕ;0;0
БемЕМ;0;0
БенарА;0;0
БенигКБ;0;0
БенкендорфДА;0;0
БенуаАА;0;0
БенуаАлекс Н;0;0
БенуаАльб Н;0;0
БергВВ;0;0
БерггольцРА;0;0
БеридтсонГФ;0;0
БерингерВВ;0;0
БеркосМА;0;0
БерндтсонГФ;0;0
БернштамЛА;0;0
БероянАК;0;0
БерсонА;0;0
БершадскийЮР;0;0
Биленкий;0;0
БилибинИИ;0;0
БильдерлингАА;0;0
БиркингерФ;0;0
БирнбаумСР;0;0
БлаговещенскийНД;0;0
БландоваМН;1;0
БланшЖ;0;0
БлахеХр;0;0
БлентА;0;0
БлиновЛД;0;0
БломстедтВ;0;0
БлощинскаяОП;1;0
БлуменфельдАФ;0;0
БлюмВИ;0;0
БлюментальЮЮ;0;0
БлюменфельдГМ;0;0
Бобрищева-Пушкина;1;0
БобровАА;0;0
БобровАВ;0;0
БобровВА;0;0
БобровВН;0;0
БобровскийГМ;0;0
БобровСП;0;0
БогаевскийКФ;0;1
БогатовНА;0;0
БогатыревВС;0;0
БогатыревИС;0;0
Богданов-БельскийНП;0;1
БогдановичФО;0;0
БогдановНП;0;0
БогданПГ;0;0
БодаревскийНК;0;0
БоголюбовАП;0;17
БоголюбовБМ;0;0
БогомазовТН;0;0
БодемюллерФ;0;0
Бодуэн-де-Куртенэ;0;0
Боженко;0;0
