name;1913;1915;1916;1917
Allonge;;;;
Ferrari;;;;
LeFauconnier;;;;
PelicierG;;;;
Pomma;;;;
Raymondi;;;;
WoizyC;;;;
АбрамовАИ;;;;
АбриЛ;;;;
АвеншепсГ;3;;;
АветисьянГА;;;;
АвиловМИ;;;;
АгафоновЕА;;;;
АдамсонАИ;;;;
АдтКФ;;;;
АйвазовскийИК;;;;
АкимоваЮВ;;;;
АкишинПИ;;;;
АккерЭ;;;;
АксенюкПД;;;;4
АладжаловМХ;;;;
АлександроваЕВ;;;;
АлександровНН;;;;
АлександровскийСФ;;;;
Александров-ТитовскойНА;;;;
АлексеевАА;;;;
АлексеевВВ;;;;
АлексеевВМ;;;;
АлексеевГД;;;;
АлексеевНВ;;;;
АлексоматиНХ;;;;
АлферьеваСВ;;;;
АльбрехтЛГ;;;;
Альквист;;;;
Альстедт;;;;
АльтаманН;;;;
АльтенбергИГ;;;;
АльхимовичК;;;;
Аман-Жан;;;;
АммонВ;;;;
АммосовСН;;;;
АмосоваОФ;;;;
АндерсонЕК;;;;
АндреевВИ;;;;
АнзимироваНВ;4;;;
АнисимовВК;;;;
АнисимовЮП;;;;
АнисфельдБИ;;;;
АничковАИ;;;;
Анкетэн;;;;
АнтокольскийММ;;;;
АнтоновАИ;;;;
Антропова;1;;;
АнтроповИГ;;;;3
АпостолиВА;;;;
АракелянС;;;;3
АраповАА;;;;
АронсонНН;;;;
АрхиповАЕ;;;;
АрхиповСН;;;;
АрчиониГ;;;;
АскназийИЛ;;;;
АстафьеваВЛ;;;;
АтрыганьевН;;;;
АтрыганьевНА;;;;
АуэрГД;;;;
АфанасьевАФ;;;;
АфанасьевВЯ;;;;
Афанасьев-Кокель;;;;
АхенбахГ;;;;
АхочинскаяЗП;;;;
БабутММ;;;;
Багратион-МухранскаяВН;;;;
БадовскийАФ;;;;
БаженовНВ;;;;2
БажинНН;;;;
БакаловичСВ;;;;
БаклундЭО;;;;
БакмансонГК;;;;
БакстЛС;;;;
БакшеевВН;;;;
БалашевПИ;;;;
БалкСМ;;;;
БаллодПП;;;;
БалльерАИ;;;11;
БалунинМА;;;;
Бальц;;;;
БарамзинЕВ;;;;
БарстельсГ;;;;
БартВС;;;;
БаруздинаВМ;;;;
БарынинАА;;;;
БасинПВ;;;;
Бастер;;;;
БатуринВП;;;;
