name;1880;1882;1883
Allonge;;;
Ferrari;;;
LeFauconnier;;;
PelicierG;;;
Pomma;;;
Raymondi;;;
WoizyC;;;
АбрамовАИ;;;
АбриЛ;;;
АвеншепсГ;;;
АветисьянГА;;;
АвиловМИ;;;
АгафоновЕА;;;
АдамсонАИ;;;
АдтКФ;;;
АйвазовскийИК;1;;2
АкимоваЮВ;;;
АкишинПИ;;;
АккерЭ;;;
АксенюкПД;;;
АладжаловМХ;;;
АлександроваЕВ;;;
АлександровНН;;;
АлександровскийСФ;;;
Александров-ТитовскойНА;;;
АлексеевАА;;;
АлексеевВВ;;;
АлексеевВМ;;;
АлексеевГД;;;
АлексеевНВ;;;
АлексоматиНХ;;;
АлферьеваСВ;;;
АльбрехтЛГ;;;
Альквист;;;
Альстедт;;1;
АльтаманН;;;
АльтенбергИГ;;;
АльхимовичК;;;
Аман-Жан;;;
АммонВ;;;
АммосовСН;;;
АмосоваОФ;;;
АндерсонЕК;;;
АндреевВИ;;;
АнзимироваНВ;;;
АнисимовВК;;;
АнисимовЮП;;;
АнисфельдБИ;;;
АничковАИ;;;
Анкетэн;;;
АнтокольскийММ;;;
АнтоновАИ;;;
Антропова;;;
АнтроповИГ;;;
АпостолиВА;;;
АракелянС;;;
АраповАА;;;
АронсонНН;;;
АрхиповАЕ;;;
АрхиповСН;;;
АрчиониГ;;;
АскназийИЛ;;;
АстафьеваВЛ;;;
АтрыганьевН;;;
АтрыганьевНА;;1;1
АуэрГД;;;
АфанасьевАФ;;;
АфанасьевВЯ;;;
Афанасьев-Кокель;;;
АхенбахГ;;;
АхочинскаяЗП;;;
БабутММ;;;
Багратион-МухранскаяВН;;;
БадовскийАФ;;;
БаженовНВ;;;
БажинНН;;;
БакаловичСВ;;;
БаклундЭО;;;
БакмансонГК;;;
БакстЛС;;;
БакшеевВН;;;
БалашевПИ;;;
БалкСМ;;;
БаллодПП;;;
БалльерАИ;;;
БалунинМА;;;
Бальц;;;
БарамзинЕВ;;;
БарстельсГ;;;
БартВС;;;
БаруздинаВМ;;;
БарынинАА;;;
БасинПВ;;;
Бастер;;;
БатуринВП;;;
БауманАГ;;;
БауманАЕ;;;
БауманАН;;;
БахНИ;;;
БахРР;;;
БахтеевВ;;;
БахтинКН;;;
БашинджагианГЗ;;;
Беггрова-ГартманОФ;;;
БеггровАК;;;
БегерЛМ;;;
БегичевАР;;;
БедросовКП;;;
БезверховНП;;;
БезродныйМЕ;;;
БезродныйМС;;;
БезродныйПВ;;;
БейгульАН;;;
БеккерА;;1;1
БеклемишевВА;;;
БёклинА;;;
БекряшевНГ;;;
БелкинВ;;;
Белоусов;;;
БелыйАФ;;;
БельзенЯЯ;;;
БелявскийМК;;;
БеляевА;;;
БеляковЕЕ;;;
БемЕМ;;;
БенарА;;;
БенигКБ;;1;
БенкендорфДА;;;
БенуаАА;;;
БенуаАлекс Н;;;
БенуаАльб Н;;;
БергВВ;;;
БерггольцРА;;;
БеридтсонГФ;;;
БерингерВВ;;;
БеркосМА;;;
БерндтсонГФ;;;
БернштамЛА;1;;
БероянАК;;;
БерсонА;;;1
БершадскийЮР;;;
Биленкий;;;
БилибинИИ;1;;
БильдерлингАА;;6;
БиркингерФ;;;
БирнбаумСР;;;
БлаговещенскийНД;;;
БландоваМН;;;
БланшЖ;;;
БлахеХр;;;
БлентА;;;
БлиновЛД;;;
БломстедтВ;;;
БлощинскаяОП;;;
БлуменфельдАФ;;;
БлюмВИ;;;
БлюментальЮЮ;;;
БлюменфельдГМ;;;
Бобрищева-Пушкина;;;
БобровАА;;;
БобровАВ;;;
БобровВА;1;;
БобровВН;;;
БобровскийГМ;;;
БобровСП;;;
БогаевскийКФ;;;
БогатовНА;;;
БогатыревВС;;;
БогатыревИС;;;
Богданов-БельскийНП;;;
БогдановичФО;;;
БогдановНП;;4;5
БогданПГ;;1;
БоголюбовАП;;;
БоголюбовБМ;;;
БогомазовТН;;;
БодаревскийНК;;;
БодемюллерФ;;;
Бодуэн-де-Куртенэ;;;
Боженко;;;
БожеряновА;;;
БолдыревИЕ;;;
БолотновВД;;;
БольдиниД;;;
Бонч-ОсмоловскаяОГ;;;
Бонч-ТомашевскийЮО;1;;
БоревскийН;;;
БоринВМ;;;
БорисовАА;;;
БорисовИФ;;;
Борисов-МусатовВЭ;;;
БормоткинВМ;;;
БородаевскийСО;;;
БортникерДМ;;;
БоруздинаВМ;;;
БоскинМВ;;;
БоссиЭ;;;
БоткинаМС;;;
БоткинМП;5;;
