name;1917
Allonge;
Ferrari;
LeFauconnier;
PelicierG;
Pomma;
Raymondi;
WoizyC;
АбрамовАИ;
АбриЛ;
АвеншепсГ;
АветисьянГА;
АвиловМИ;7
АгафоновЕА;
АдамсонАИ;
АдтКФ;
АйвазовскийИК;
АкимоваЮВ;
АкишинПИ;
АккерЭ;
АксенюкПД;
АладжаловМХ;
АлександроваЕВ;
АлександровНН;
АлександровскийСФ;
Александров-ТитовскойНА;
АлексеевАА;
АлексеевВВ;
АлексеевВМ;
АлексеевГД;
АлексеевНВ;
АлексоматиНХ;
АлферьеваСВ;
АльбрехтЛГ;1
Альквист;
Альстедт;
АльтаманН;
АльтенбергИГ;
АльхимовичК;
Аман-Жан;
АммонВ;
АммосовСН;
АмосоваОФ;
АндерсонЕК;
АндреевВИ;
АнзимироваНВ;
АнисимовВК;
АнисимовЮП;
АнисфельдБИ;
АничковАИ;
Анкетэн;
АнтокольскийММ;
АнтоновАИ;
Антропова;
АнтроповИГ;
АпостолиВА;2
АракелянС;
АраповАА;
АронсонНН;
АрхиповАЕ;
АрхиповСН;6
АрчиониГ;
АскназийИЛ;
АстафьеваВЛ;
АтрыганьевН;
АтрыганьевНА;
АуэрГД;
АфанасьевАФ;
АфанасьевВЯ;
Афанасьев-Кокель;
АхенбахГ;
АхочинскаяЗП;
БабутММ;
Багратион-МухранскаяВН;
БадовскийАФ;
БаженовНВ;
БажинНН;
БакаловичСВ;
БаклундЭО;
БакмансонГК;
БакстЛС;
БакшеевВН;
БалашевПИ;
БалкСМ;
БаллодПП;
БалльерАИ;
БалунинМА;
Бальц;
БарамзинЕВ;
БарстельсГ;
БартВС;
БаруздинаВМ;
БарынинАА;
БасинПВ;
Бастер;
БатуринВП;
БауманАГ;
БауманАЕ;
БауманАН;
БахНИ;
БахРР;5
БахтеевВ;
БахтинКН;
БашинджагианГЗ;
Беггрова-ГартманОФ;
БеггровАК;
БегерЛМ;
БегичевАР;
БедросовКП;
БезверховНП;
БезродныйМЕ;
БезродныйМС;
БезродныйПВ;
БейгульАН;
БеккерА;
БеклемишевВА;
БёклинА;
БекряшевНГ;
БелкинВ;
Белоусов;
БелыйАФ;17
БельзенЯЯ;
БелявскийМК;
БеляевА;
БеляковЕЕ;
БемЕМ;
БенарА;
БенигКБ;
БенкендорфДА;
БенуаАА;
БенуаАлекс Н;
БенуаАльб Н;
БергВВ;
БерггольцРА;
БеридтсонГФ;
БерингерВВ;
БеркосМА;
БерндтсонГФ;
БернштамЛА;
БероянАК;
БерсонА;
БершадскийЮР;
Биленкий;
БилибинИИ;
БильдерлингАА;
БиркингерФ;
БирнбаумСР;
БлаговещенскийНД;
БландоваМН;
БланшЖ;
БлахеХр;
БлентА;
БлиновЛД;
БломстедтВ;
БлощинскаяОП;
БлуменфельдАФ;
БлюмВИ;
БлюментальЮЮ;
БлюменфельдГМ;
Бобрищева-Пушкина;
БобровАА;
БобровАВ;
БобровВА;
БобровВН;
БобровскийГМ;
БобровСП;
БогаевскийКФ;
БогатовНА;
БогатыревВС;
БогатыревИС;
Богданов-БельскийНП;
БогдановичФО;
БогдановНП;
БогданПГ;
БоголюбовАП;
БоголюбовБМ;
БогомазовТН;
БодаревскийНК;
БодемюллерФ;
Бодуэн-де-Куртенэ;
Боженко;
БожеряновА;
БолдыревИЕ;
БолотновВД;
БольдиниД;
Бонч-ОсмоловскаяОГ;
Бонч-ТомашевскийЮО;
БоревскийН;
БоринВМ;
БорисовАА;
БорисовИФ;
Борисов-МусатовВЭ;
БормоткинВМ;
БородаевскийСО;
БортникерДМ;
БоруздинаВМ;
БоскинМВ;
БоссиЭ;
БоткинаМС;
БоткинМП;
БоткинНИ;
БочаровМИ;
БрагаГ;
БрагаЭ;
БразельЮН;
БразОЭ;
БраиловскаяРН;
БраиловскийЛМ;
БракГ;
БрандтИ;
БраунЭГ;
Бредт;
Брендель;
БржозовскийФФ;
БроварьЯИ;
БродскийИИ;
БромбергФГ;
БронниковНК;
БронниковФА;
БроновицкийГФ;
БруниНА;
БруниФА;
БрускетиАЯ;
БрухардтФК;
БрэнгвинЖ;
БрюлловПА;
БрянскийМВ;
БубликовНЕ;4
Будкевич;
Будковская-КибальчичНТ;
БудковскийГЯ;
БузалевскийБМ;
БуйндМА;
БуйницкийРИ;
