name;1905;1909;1910;1913;1914;1915;1917
Allonge;;;;;;;
Ferrari;;;;;;;
LeFauconnier;;;;;;;
PelicierG;;;;;;;
Pomma;;;;;;;
Raymondi;;;;;;;
WoizyC;;;;;;;
АбрамовАИ;;;;;;;
АбриЛ;;;;;;;
АвеншепсГ;;;;;;;
АветисьянГА;;;;;;;
АвиловМИ;;;;;;;
АгафоновЕА;;;;;;;
АдамсонАИ;;;;;;;
АдтКФ;;;;;;;
АйвазовскийИК;;;;;;;
АкимоваЮВ;;;;;;;
АкишинПИ;;;;;;;
АккерЭ;;;;;;;
АксенюкПД;;;;;;;
АладжаловМХ;;10;17;18;42;13;17
АлександроваЕВ;;;;;;;
АлександровНН;;;;;;;
АлександровскийСФ;;;;;;;
Александров-ТитовскойНА;;;;;;;
АлексеевАА;;;;;;;
АлексеевВВ;;;;;;;
АлексеевВМ;;;;;;;
АлексеевГД;;;;;;;
АлексеевНВ;;;;;;;
АлексоматиНХ;;;;;;;
АлферьеваСВ;;;;;;;
АльбрехтЛГ;;;;;;;
Альквист;;;;;;;
Альстедт;;;;;;;
АльтаманН;;;;;;;
АльтенбергИГ;;;;;;;
АльхимовичК;;;;;;;
Аман-Жан;;;;;;;
АммонВ;;;;;;;
АммосовСН;;;;;;;
АмосоваОФ;;;;;;;
АндерсонЕК;;;;;;;
АндреевВИ;;;;;;;
АнзимироваНВ;;;;;;;
АнисимовВК;;;;;;;
АнисимовЮП;;;;;;;
АнисфельдБИ;;4;12;;;;
АничковАИ;;;;;;;
Анкетэн;;;;;;;
АнтокольскийММ;;;;;;;
АнтоновАИ;;;;;;;
Антропова;;;;;;;
АнтроповИГ;;;;;;;
АпостолиВА;;;;;;;
АракелянС;;;;;;;
АраповАА;;;4;;;;
АронсонНН;;;;;;;
АрхиповАЕ;;6;7;4;16;4;
АрхиповСН;;;;;;;
АрчиониГ;;;;;;;
АскназийИЛ;;;;;;;
АстафьеваВЛ;;;;;;;
АтрыганьевН;;;;;;;
АтрыганьевНА;;;;;;;
