name;1899;1911;1912;1913
Allonge;;;;
Ferrari;;;;
LeFauconnier;;;;
PelicierG;;;;
Pomma;;;;
Raymondi;;;;
WoizyC;;;;
АбрамовАИ;;;;
АбриЛ;;;;
АвеншепсГ;;;;
АветисьянГА;;;;
АвиловМИ;;;;
АгафоновЕА;;;;
АдамсонАИ;;;;
АдтКФ;;;;
АйвазовскийИК;;;;
АкимоваЮВ;;;;
АкишинПИ;;;;
АккерЭ;;;;
АксенюкПД;;;;
АладжаловМХ;;;;
АлександроваЕВ;;;;
АлександровНН;;;;
АлександровскийСФ;;;;
Александров-ТитовскойНА;;;;
АлексеевАА;;;;
АлексеевВВ;;;;
АлексеевВМ;;;;
АлексеевГД;;;;
АлексеевНВ;;;;
АлексоматиНХ;;;;
АлферьеваСВ;;;;
АльбрехтЛГ;;;;
Альквист;;;;
Альстедт;;;;
АльтаманН;;;;2
АльтенбергИГ;;;;
АльхимовичК;;;;
Аман-Жан;6;;;
АммонВ;;;;
АммосовСН;;;;
АмосоваОФ;;;;
АндерсонЕК;;;;
АндреевВИ;;;;
АнзимироваНВ;;;;
АнисимовВК;;;;
АнисимовЮП;;;;
АнисфельдБИ;;20;27;6
АничковАИ;;;;
Анкетэн;5;;;
АнтокольскийММ;;;;
АнтоновАИ;;;;
Антропова;;;;
АнтроповИГ;;;;
АпостолиВА;;;;
АракелянС;;;;
АраповАА;;1;3;8
АронсонНН;;;;
АрхиповАЕ;;;;
АрхиповСН;;;;
АрчиониГ;;;;
АскназийИЛ;;;;
АстафьеваВЛ;;;;
АтрыганьевН;;;;
АтрыганьевНА;;;;
АуэрГД;;;;
АфанасьевАФ;;;;
АфанасьевВЯ;;;;
Афанасьев-Кокель;;;;
АхенбахГ;;;;
АхочинскаяЗП;;;;
БабутММ;;;;
Багратион-МухранскаяВН;;;;
БадовскийАФ;;;;
БаженовНВ;;;;
БажинНН;;;;
БакаловичСВ;;;;
БаклундЭО;;;;
БакмансонГК;;;;
БакстЛС;2;;;1
БакшеевВН;;;;
БалашевПИ;;;;
БалкСМ;;;;
БаллодПП;;;;
БалльерАИ;;;;
БалунинМА;;;;
Бальц;;;;
БарамзинЕВ;;;;
БарстельсГ;3;;;
БартВС;;;;
БаруздинаВМ;;;;
БарынинАА;;;;
БасинПВ;;;;
Бастер;;;;
БатуринВП;;;;
БауманАГ;;;;
БауманАЕ;;;;
БауманАН;;;;
БахНИ;;;;
БахРР;;;;
БахтеевВ;;;;
БахтинКН;;;;
БашинджагианГЗ;;;;
Беггрова-ГартманОФ;;;;
БеггровАК;;;;
БегерЛМ;;;;
БегичевАР;;;;
БедросовКП;;;;
БезверховНП;;;;
БезродныйМЕ;;;;
БезродныйМС;;;;
БезродныйПВ;;;;
БейгульАН;;;;
БеккерА;;;;
БеклемишевВА;;;;
БёклинА;1;;;
БекряшевНГ;;;;
БелкинВ;;;;3
Белоусов;;;;
БелыйАФ;;;;
БельзенЯЯ;;;;
БелявскийМК;;;;
БеляевА;;;;
БеляковЕЕ;;;;
БемЕМ;;;;
БенарА;5;;;
БенигКБ;;;;
БенкендорфДА;;;;
БенуаАА;;;;
БенуаАлекс Н;;;;
БенуаАльб Н;2;8;15;10
БергВВ;;;;
БерггольцРА;;;;
