"","from","to","weight"
"1","Alg","Chi",1
"2","Alg","Cze",1
"3","Alg","Fin",1
"4","Alg","Ind",1
"5","Alg","Spa",1
"6","Alg","Yug",1
"7","Arg","Alg",1
"8","Arg","Bra",1
"9","Arg","Chi",1
"10","Arg","Cze",1
"11","Arg","Ecu",1
"12","Arg","Fin",1
"13","Arg","Ind",1
"14","Arg","Isr",1
"15","Arg","Jap",1
"16","Arg","Spa",1
"17","Arg","Swi",1
"18","Arg","Tai",1
"19","Arg","US",1
"20","Arg","Yug",1
"21","Bra","Alg",1
"22","Bra","Arg",1
"23","Bra","Chi",1
"24","Bra","Cze",1
"25","Bra","Ecu",1
"26","Bra","Egy",1
"27","Bra","Fin",1
"28","Bra","Ind",1
"29","Bra","Isr",1
"30","Bra","Jap",1
"31","Bra","Mad",1
"32","Bra","NZ",1
"33","Bra","Pak",1
"34","Bra","Spa",1
"35","Bra","Swi",1
"36","Bra","Tai",1
"37","Bra","UK",1
"38","Bra","US",1
"39","Bra","Yug",1
"40","Chi","Arg",1
"41","Chi","Cze",1
"42","Chi","Egy",1
"43","Chi","Eth",1
"44","Chi","Fin",1
"45","Chi","Ind",1
"46","Chi","Jap",1
"47","Chi","NZ",1
"48","Chi","Pak",1
"49","Chi","Spa",1
"50","Chi","Swi",1
"51","Chi","Tai",1
"52","Chi","UK",1
"53","Chi","US",1
"54","Chi","Yug",1
"55","Cze","Egy",1
"56","Cze","Fin",1
"57","Cze","Spa",1
"58","Cze","Swi",1
"59","Cze","Syr",1
"60","Cze","UK",1
"61","Cze","Yug",1
"62","Ecu","Fin",1
"63","Ecu","UK",1
"64","Ecu","US",1
"65","Egy","Alg",1
"66","Egy","Chi",1
"67","Egy","Cze",1
"68","Egy","Fin",1
"69","Egy","Ind",1
"70","Egy","Isr",1
"71","Egy","Jap",1
"72","Egy","Pak",1
"73","Egy","Spa",1
"74","Egy","Swi",1
"75","Egy","Tai",1
"76","Egy","UK",1
"77","Egy","US",1
"78","Egy","Yug",1
"79","Eth","Alg",1
"80","Eth","Cze",1
"81","Eth","Egy",1
"82","Eth","Isr",1
"83","Eth","Jap",1
"84","Eth","Spa",1
"85","Eth","Swi",1
"86","Eth","Syr",1
"87","Eth","UK",1
"88","Eth","US",1
"89","Fin","Alg",1
"90","Fin","Arg",1
"91","Fin","Chi",1
"92","Fin","Cze",1
"93","Fin","Ecu",1
"94","Fin","Egy",1
"95","Fin","Ind",1
"96","Fin","Isr",1
"97","Fin","Jap",1
"98","Fin","NZ",1
"99","Fin","Pak",1
"100","Fin","Spa",1
"101","Fin","Swi",1
"102","Fin","Tai",1
"103","Fin","UK",1
"104","Fin","US",1
"105","Fin","Yug",1
"106","Hon","Cze",1
"107","Hon","Jap",1
"108","Hon","Spa",1
"109","Hon","Swi",1
"110","Hon","UK",1
"111","Hon","US",1
"112","Hon","Yug",1
"113","Ind","Chi",1
"114","Ind","Cze",1
"115","Ind","Fin",1
"116","Ind","Jap",1
"117","Ind","NZ",1
"118","Ind","Pak",1
"119","Ind","Spa",1
"120","Ind","Swi",1
"121","Ind","Tai",1
"122","Ind","UK",1
"123","Ind","US",1
"124","Ind","Yug",1
