"","from","to","weight"
"1","Alg","Arg",1
"2","Alg","Bra",1
"3","Alg","Chi",1
"4","Alg","Cze",1
"5","Alg","Fin",1
"6","Alg","Ind",1
"7","Alg","Jap",1
"8","Alg","Mad",1
"9","Alg","Pak",1
"10","Alg","Spa",1
"11","Alg","Swi",1
"12","Alg","Syr",1
"13","Alg","UK",1
"14","Alg","US",1
"15","Alg","Yug",1
"16","Arg","Alg",1
"17","Arg","Bra",1
"18","Arg","Chi",1
"19","Arg","Cze",1
"20","Arg","Egy",1
"21","Arg","Fin",1
"22","Arg","Hon",1
"23","Arg","Ind",1
"24","Arg","Isr",1
"25","Arg","Jap",1
"26","Arg","Pak",1
"27","Arg","Spa",1
"28","Arg","Swi",1
"29","Arg","Syr",1
"30","Arg","Tai",1
"31","Arg","US",1
"32","Arg","Yug",1
"33","Bra","Alg",1
"34","Bra","Arg",1
"35","Bra","Chi",1
"36","Bra","Cze",1
"37","Bra","Ecu",1
"38","Bra","Egy",1
"39","Bra","Fin",1
"40","Bra","Hon",1
"41","Bra","Ind",1
"42","Bra","Isr",1
"43","Bra","Jap",1
"44","Bra","Pak",1
"45","Bra","Spa",1
"46","Bra","Swi",1
"47","Bra","Syr",1
"48","Bra","Tai",1
"49","Bra","UK",1
"50","Bra","US",1
"51","Bra","Yug",1
"52","Chi","Alg",1
"53","Chi","Arg",1
"54","Chi","Bra",1
"55","Chi","Cze",1
"56","Chi","Ecu",1
"57","Chi","Egy",1
"58","Chi","Eth",1
"59","Chi","Fin",1
"60","Chi","Jap",1
"61","Chi","Lib",1
"62","Chi","Mad",1
"63","Chi","NZ",1
"64","Chi","Pak",1
"65","Chi","Spa",1
"66","Chi","Swi",1
"67","Chi","Syr",1
"68","Chi","Tai",1
"69","Chi","UK",1
"70","Chi","US",1
"71","Chi","Yug",1
"72","Cze","Alg",1
"73","Cze","Arg",1
"74","Cze","Bra",1
"75","Cze","Chi",1
"76","Cze","Ecu",1
"77","Cze","Egy",1
"78","Cze","Fin",1
"79","Cze","Ind",1
"80","Cze","Jap",1
"81","Cze","Spa",1
"82","Cze","Swi",1
"83","Cze","Syr",1
"84","Cze","UK",1
"85","Cze","US",1
"86","Cze","Yug",1
"87","Ecu","Arg",1
"88","Ecu","Bra",1
"89","Ecu","Chi",1
"90","Ecu","Cze",1
"91","Ecu","Egy",1
"92","Ecu","Hon",1
"93","Ecu","Isr",1
"94","Ecu","Jap",1
"95","Ecu","Spa",1
"96","Ecu","Swi",1
"97","Ecu","UK",1
"98","Ecu","US",1
"99","Ecu","Yug",1
"100","Egy","Arg",1
"101","Egy","Bra",1
"102","Egy","Chi",1
"103","Egy","Cze",1
"104","Egy","Ecu",1
"105","Egy","Eth",1
"106","Egy","Fin",1
"107","Egy","Ind",1
"108","Egy","Isr",1
"109","Egy","Jap",1
"110","Egy","Lib",1
"111","Egy","Pak",1
"112","Egy","Spa",1
"113","Egy","Swi",1
"114","Egy","Tai",1
"115","Egy","UK",1
"116","Egy","US",1
"117","Egy","Yug",1
"118","Eth","Alg",1
"119","Eth","Arg",1
"120","Eth","Chi",1
"121","Eth","Cze",1
"122","Eth","Egy",1
"123","Eth","Fin",1
"124","Eth","Ind",1
"125","Eth","Jap",1
"126","Eth","Lib",1
"127","Eth","Spa",1
"128","Eth","Swi",1
"129","Eth","UK",1
"130","Eth","US",1
"131","Eth","Yug",1
"132","Fin","Arg",1
"133","Fin","Bra",1
"134","Fin","Chi",1
"135","Fin","Cze",1
"136","Fin","Egy",1
"137","Fin","Ind",1
"138","Fin","Isr",1
"139","Fin","Jap",1
