"","from","to","weight"
"1","Alg","Spa",1
"2","Arg","Alg",1
"3","Arg","Bra",1
"4","Arg","Cze",1
"5","Arg","Ecu",1
"6","Arg","Egy",1
"7","Arg","Fin",1
"8","Arg","Ind",1
"9","Arg","Isr",1
"10","Arg","Jap",1
"11","Arg","NZ",1
"12","Arg","Pak",1
"13","Arg","Spa",1
"14","Arg","Swi",1
"15","Arg","Syr",1
"16","Arg","Tai",1
"17","Arg","US",1
"18","Arg","Yug",1
"19","Bra","Alg",1
"20","Bra","Arg",1
"21","Bra","Chi",1
"22","Bra","Cze",1
"23","Bra","Egy",1
"24","Bra","Fin",1
"25","Bra","Ind",1
"26","Bra","Isr",1
"27","Bra","Jap",1
"28","Bra","Lib",1
"29","Bra","NZ",1
"30","Bra","Pak",1
"31","Bra","Spa",1
"32","Bra","Swi",1
"33","Bra","Syr",1
"34","Bra","Tai",1
"35","Bra","UK",1
"36","Bra","US",1
"37","Bra","Yug",1
"38","Chi","Alg",1
"39","Chi","Cze",1
"40","Chi","Egy",1
"41","Chi","Fin",1
"42","Chi","Ind",1
"43","Chi","Jap",1
"44","Chi","Lib",1
"45","Chi","NZ",1
"46","Chi","Pak",1
"47","Chi","Spa",1
"48","Chi","Swi",1
"49","Chi","Syr",1
"50","Chi","Tai",1
"51","Chi","UK",1
"52","Chi","US",1
"53","Cze","Bra",1
"54","Cze","Egy",1
"55","Cze","Fin",1
"56","Cze","Jap",1
"57","Cze","Spa",1
"58","Cze","Swi",1
"59","Cze","Syr",1
"60","Cze","Tai",1
"61","Cze","UK",1
"62","Cze","US",1
"63","Cze","Yug",1
"64","Ecu","Arg",1
"65","Ecu","Bra",1
"66","Ecu","Cze",1
"67","Ecu","Fin",1
"68","Ecu","Jap",1
"69","Ecu","NZ",1
"70","Ecu","Spa",1
"71","Ecu","Swi",1
"72","Ecu","UK",1
"73","Ecu","US",1
"74","Ecu","Yug",1
"75","Egy","Alg",1
"76","Egy","Cze",1
"77","Egy","Fin",1
"78","Egy","Ind",1
"79","Egy","Isr",1
"80","Egy","Swi",1
"81","Egy","UK",1
"82","Egy","US",1
"83","Eth","Cze",1
"84","Eth","Fin",1
"85","Eth","Isr",1
"86","Eth","Jap",1
"87","Eth","Spa",1
"88","Eth","Swi",1
"89","Eth","UK",1
"90","Eth","US",1
"91","Fin","Alg",1
"92","Fin","Cze",1
"93","Fin","Egy",1
"94","Fin","Ind",1
"95","Fin","Isr",1
"96","Fin","Jap",1
"97","Fin","Spa",1
"98","Fin","Swi",1
"99","Fin","Syr",1
"100","Fin","Tai",1
"101","Fin","UK",1
"102","Fin","US",1
"103","Fin","Yug",1
"104","Hon","Cze",1
"105","Hon","Egy",1
"106","Hon","Fin",1
"107","Hon","Isr",1
"108","Hon","Jap",1
"109","Hon","Spa",1
"110","Hon","Swi",1
"111","Hon","Syr",1
"112","Hon","UK",1
"113","Hon","US",1
"114","Hon","Yug",1
"115","Ind","Alg",1
"116","Ind","Chi",1
"117","Ind","Cze",1
"118","Ind","Egy",1
"119","Ind","Fin",1
"120","Ind","Jap",1
"121","Ind","NZ",1
"122","Ind","Pak",1
"123","Ind","Spa",1
"124","Ind","Swi",1
"125","Ind","Tai",1
"126","Ind","UK",1
"127","Ind","US",1
"128","Ind","Yug",1
"129","Isr","Arg",1
"130","Isr","Bra",1
"131","Isr","Egy",1
"132","Isr","Fin",1
"133","Isr","Jap",1
"134","Isr","NZ",1
"135","Isr","Spa",1
"136","Isr","Swi",1
"137","Isr","Tai",1
"138","Isr","UK",1
"139","Isr","US",1
"140","Isr","Yug",1
"141","Jap","Chi",1
"142","Jap","Cze",1
"143","Jap","Egy",1
"144","Jap","Fin",1
"145","Jap","Hon",1
"146","Jap","Ind",1
"147","Jap","Isr",1
"148","Jap","Lib",1
"149","Jap","Mad",1
"150","Jap","NZ",1
"151","Jap","Pak",1
"152","Jap","Spa",1
"153","Jap","Swi",1
"154","Jap","Syr",1
"155","Jap","Tai",1
"156","Jap","UK",1
"157","Jap","US",1
"158","Lib","Pak",1
"159","Lib","Spa",1
"160","Lib","US",1
"161","Mad","Fin",1
"162","Mad","Jap",1
"163","Mad","Spa",1
"164","Mad","Swi",1
"165","Mad","US",1
"166","NZ","Alg",1
"167","NZ","Chi",1
"168","NZ","Ecu",1
"169","NZ","Egy",1
"170","NZ","Fin",1
"171","NZ","Hon",1
"172","NZ","Ind",1
"173","NZ","Jap",1
"174","NZ","Pak",1
"175","NZ","Spa",1
"176","NZ","Swi",1
"177","NZ","Syr",1
"178","NZ","Tai",1
"179","NZ","UK",1
"180","NZ","US",1
"181","Pak","Alg",1
"182","Pak","Cze",1
"183","Pak","Fin",1
"184","Pak","Ind",1
"185","Pak","Jap",1
"186","Pak","NZ",1
"187","Pak","Swi",1
"188","Pak","UK",1
"189","Pak","US",1
"190","Spa","Alg",1
"191","Spa","Arg",1
"192","Spa","Bra",1
"193","Spa","Chi",1
"194","Spa","Cze",1
"195","Spa","Ecu",1
"196","Spa","Egy",1
"197","Spa","Fin",1
"198","Spa","Hon",1
"199","Spa","Ind",1
"200","Spa","Isr",1
"201","Spa","Jap",1
"202","Spa","Lib",1
"203","Spa","NZ",1
"204","Spa","Swi",1
"205","Spa","Syr",1
"206","Spa","Tai",1
"207","Spa","UK",1
"208","Spa","US",1
"209","Spa","Yug",1
"210","Swi","Alg",1
"211","Swi","Arg",1
"212","Swi","Bra",1
"213","Swi","Chi",1
"214","Swi","Cze",1
"215","Swi","Egy",1
"216","Swi","Eth",1
"217","Swi","Fin",1
"218","Swi","Ind",1
"219","Swi","Isr",1
"220","Swi","Jap",1
"221","Swi","Lib",1
"222","Swi","Mad",1
"223","Swi","NZ",1
"224","Swi","Pak",1
"225","Swi","Spa",1
"226","Swi","Syr",1
"227","Swi","Tai",1
"228","Swi","UK",1
"229","Swi","US",1
"230","Swi","Yug",1
"231","Syr","Alg",1
"232","Syr","Egy",1
"233","Syr","Pak",1
"234","Tai","Alg",1
"235","Tai","Chi",1
"236","Tai","Cze",1
"237","Tai","Ecu",1
"238","Tai","Egy",1
"239","Tai","Fin",1
"240","Tai","Ind",1
"241","Tai","Isr",1
"242","Tai","Jap",1
"243","Tai","Mad",1
"244","Tai","NZ",1
"245","Tai","Pak",1
"246","Tai","Spa",1
"247","Tai","Swi",1
"248","Tai","Syr",1
"249","Tai","UK",1
"250","Tai","US",1
"251","UK","Alg",1
"252","UK","Bra",1
"253","UK","Chi",1
"254","UK","Cze",1
"255","UK","Egy",1
"256","UK","Eth",1
"257","UK","Fin",1
"258","UK","Hon",1
"259","UK","Ind",1
"260","UK","Isr",1
"261","UK","Jap",1
"262","UK","Lib",1
"263","UK","Mad",1
"264","UK","NZ",1
"265","UK","Pak",1
"266","UK","Spa",1
"267","UK","Swi",1
"268","UK","Syr",1
"269","UK","Tai",1
"270","UK","US",1
"271","UK","Yug",1
"272","US","Alg",1
"273","US","Arg",1
"274","US","Bra",1
"275","US","Chi",1
"276","US","Cze",1
"277","US","Ecu",1
"278","US","Egy",1
"279","US","Eth",1
"280","US","Fin",1
"281","US","Hon",1
"282","US","Ind",1
"283","US","Isr",1
"284","US","Jap",1
"285","US","Lib",1
"286","US","Mad",1
"287","US","NZ",1
"288","US","Pak",1
"289","US","Spa",1
"290","US","Swi",1
"291","US","Syr",1
"292","US","Tai",1
"293","US","UK",1
"294","US","Yug",1
"295","Yug","Alg",1
"296","Yug","Bra",1
"297","Yug","Chi",1
"298","Yug","Cze",1
"299","Yug","Egy",1
"300","Yug","Fin",1
"301","Yug","Isr",1
"302","Yug","Jap",1
"303","Yug","Spa",1
"304","Yug","Swi",1
"305","Yug","Syr",1
"306","Yug","UK",1
"307","Yug","US",1
