"","from","to","weight"
"1","Alg","Bra",1
"2","Alg","Egy",1
"3","Alg","Jap",1
"4","Alg","Spa",1
"5","Alg","Swi",1
"6","Alg","Syr",1
"7","Alg","UK",1
"8","Alg","US",1
"9","Alg","Yug",1
"10","Arg","Bra",1
"11","Arg","Spa",1
"12","Arg","US",1
"13","Bra","Alg",1
"14","Bra","Arg",1
"15","Bra","Ecu",1
"16","Bra","Lib",1
"17","Bra","UK",1
"18","Bra","US",1
"19","Chi","Bra",1
"20","Chi","Egy",1
"21","Chi","Fin",1
"22","Chi","Ind",1
"23","Chi","Jap",1
"24","Chi","Mad",1
"25","Chi","NZ",1
"26","Chi","Pak",1
"27","Chi","Spa",1
"28","Chi","Tai",1
"29","Chi","US",1
"30","Cze","Swi",1
"31","Cze","Yug",1
"32","Ecu","US",1
"33","Egy","Jap",1
"34","Egy","Spa",1
"35","Egy","UK",1
"36","Egy","US",1
"37","Egy","Yug",1
"38","Fin","Isr",1
"39","Fin","Spa",1
"40","Fin","UK",1
"41","Fin","US",1
"42","Ind","Jap",1
"43","Ind","NZ",1
"44","Ind","Spa",1
"45","Ind","Tai",1
"46","Ind","UK",1
"47","Ind","US",1
"48","Isr","Egy",1
"49","Jap","Alg",1
"50","Jap","Arg",1
"51","Jap","Bra",1
"52","Jap","Chi",1
"53","Jap","Ecu",1
"54","Jap","Egy",1
"55","Jap","Hon",1
"56","Jap","Ind",1
"57","Jap","NZ",1
"58","Jap","Pak",1
"59","Jap","Spa",1
"60","Jap","Tai",1
"61","Jap","UK",1
"62","Jap","US",1
"63","Lib","Egy",1
"64","Lib","Yug",1
"65","NZ","Jap",1
"66","Pak","Tai",1
"67","Spa","Alg",1
"68","Spa","Arg",1
"69","Spa","Egy",1
"70","Spa","Fin",1
"71","Spa","Lib",1
"72","Spa","Mad",1
"73","Spa","Pak",1
"74","Spa","Syr",1
"75","Spa","UK",1
"76","Spa","US",1
"77","Spa","Yug",1
"78","Swi","Cze",1
"79","Swi","Ind",1
"80","Swi","Isr",1
"81","Swi","Lib",1
"82","Swi","UK",1
"83","Swi","Yug",1
"84","Syr","Spa",1
"85","Syr","UK",1
"86","Tai","Mad",1
"87","Tai","US",1
"88","UK","Alg",1
"89","UK","Bra",1
"90","UK","Chi",1
"91","UK","Cze",1
"92","UK","Ecu",1
"93","UK","Egy",1
"94","UK","Eth",1
"95","UK","Fin",1
"96","UK","Ind",1
"97","UK","Isr",1
"98","UK","Lib",1
"99","UK","NZ",1
"100","UK","Pak",1
"101","UK","Spa",1
"102","UK","Swi",1
"103","UK","Syr",1
"104","UK","Tai",1
"105","UK","US",1
"106","UK","Yug",1
"107","US","Alg",1
"108","US","Arg",1
"109","US","Bra",1
"110","US","Chi",1
"111","US","Ecu",1
"112","US","Egy",1
"113","US","Eth",1
"114","US","Fin",1
"115","US","Hon",1
"116","US","Ind",1
"117","US","Isr",1
"118","US","Jap",1
"119","US","Lib",1
"120","US","Mad",1
"121","US","NZ",1
"122","US","Pak",1
"123","US","Spa",1
"124","US","Swi",1
"125","US","Syr",1
"126","US","Tai",1
"127","US","UK",1
"128","US","Yug",1
"129","Yug","Alg",1
"130","Yug","Cze",1
"131","Yug","Isr",1
"132","Yug","Spa",1
"133","Yug","Swi",1
"134","Yug","Syr",1
"135","Yug","US",1
