"","from","to"
"1",1,2
"2",1,17
"3",1,20
"4",2,1
"5",2,6
"6",2,17
"7",2,20
"8",2,22
"9",2,24
"10",2,26
"11",3,2
"12",3,6
"13",3,14
"14",3,17
"15",3,18
"16",3,28
"17",3,30
"18",4,1
"19",4,2
"20",4,3
"21",4,6
"22",4,9
"23",4,12
"24",4,13
"25",4,14
"26",4,17
"27",4,19
"28",4,20
"29",4,21
"30",4,22
"31",4,24
"32",4,26
"33",4,28
"34",4,29
"35",5,1
"36",5,6
"37",5,11
"38",5,18
"39",7,2
"40",7,10
"41",7,28
"42",7,34
"43",8,1
"44",8,11
"45",9,11
"46",9,12
"47",9,17
"48",10,2
"49",10,16
"50",10,17
"51",10,24
"52",10,26
"53",10,29
"54",10,34
"55",11,1
"56",11,8
"57",11,12
"58",11,17
"59",11,21
"60",12,2
"61",12,4
"62",12,8
"63",12,9
"64",12,10
"65",12,11
"66",12,13
"67",12,14
"68",12,15
"69",12,16
"70",12,17
"71",12,19
"72",12,25
"73",12,26
"74",12,29
"75",12,32
"76",12,34
"77",12,35
"78",12,38
"79",12,42
"80",13,8
"81",13,11
"82",13,12
"83",13,15
"84",13,16
"85",13,17
"86",13,20
"87",13,21
"88",13,24
"89",13,26
"90",13,34
"91",13,38
"92",13,39
"93",13,40
"94",13,41
"95",13,43
"96",14,3
"97",14,4
"98",14,6
"99",14,12
"100",14,15
"101",14,16
"102",14,17
"103",14,25
"104",14,28
"105",14,30
"106",14,32
"107",14,34
"108",14,35
"109",14,50
"110",15,2
"111",15,6
"112",15,13
"113",15,14
"114",15,16
"115",15,22
"116",15,26
"117",15,29
"118",15,32
"119",15,34
"120",16,1
"121",16,2
"122",16,4
"123",16,6
"124",16,7
"125",16,9
"126",16,10
"127",16,12
"128",16,14
"129",16,15
"130",16,17
"131",16,19
"132",16,24
"133",16,25
"134",16,26
"135",16,28
"136",16,29
"137",16,32
"138",16,34
"139",16,37
"140",16,38
"141",16,45
"142",16,46
"143",16,48
"144",16,50
"145",16,53
"146",16,60
"147",17,1
"148",17,2
"149",17,4
"150",17,8
"151",17,9
"152",17,11
"153",17,12
"154",17,14
"155",17,16
"156",17,20
"157",17,21
"158",17,22
"159",17,24
"160",17,26
"161",17,28
"162",17,29
"163",17,34
"164",17,39
"165",17,40
"166",17,46
"167",17,48
"168",18,3
"169",18,5
"170",18,6
"171",18,31
"172",18,32
"173",19,1
"174",19,2
"175",19,3
"176",19,4
"177",19,6
"178",19,9
"179",19,12
"180",19,13
"181",19,15
"182",19,17
"183",19,20
"184",19,21
"185",19,22
"186",19,24
"187",19,26
"188",19,28
"189",19,29
"190",19,30
"191",19,32
"192",19,34
"193",19,35
"194",19,37
"195",19,42
"196",19,43
"197",19,45
"198",19,46
"199",19,53
"200",19,60
"201",19,64
"202",19,70
"203",20,1
"204",20,2
"205",20,4
"206",20,5
"207",20,13
"208",20,14
"209",20,15
"210",20,21
"211",20,24
"212",20,26
"213",20,40
"214",21,1
"215",21,9
"216",21,11
"217",21,13
"218",21,17
"219",21,20
"220",21,24
"221",21,26
"222",21,27
"223",21,40
"224",21,41
"225",22,1
"226",22,2
"227",22,4
"228",22,15
"229",22,16
"230",22,17
"231",22,19
"232",22,20
"233",22,28
"234",22,31
"235",22,32
"236",22,34
"237",23,1
"238",23,3
"239",23,4
"240",23,5
"241",23,8
"242",23,11
"243",23,13
"244",23,18
"245",23,20
"246",24,1
"247",24,2
"248",24,6
"249",24,8
"250",24,10
