"","V1","V2","edgevalue","na"
"1",78,1,1,FALSE
"2",9,3,1,FALSE
"3",14,3,1,FALSE
"4",35,3,1,FALSE
"5",44,3,1,FALSE
"6",60,3,1,FALSE
"7",38,4,1,FALSE
"8",107,4,1,FALSE
"9",10,5,1,FALSE
"10",38,7,1,FALSE
"11",2,11,1,FALSE
"12",17,11,1,FALSE
"13",26,11,1,FALSE
"14",36,11,1,FALSE
"15",55,11,1,FALSE
"16",58,11,1,FALSE
"17",76,11,1,FALSE
"18",83,11,1,FALSE
"19",98,11,1,FALSE
"20",37,13,1,FALSE
"21",79,18,1,FALSE
"22",96,19,1,FALSE
"23",3,20,1,FALSE
"24",13,20,1,FALSE
"25",37,20,1,FALSE
"26",89,20,1,FALSE
"27",23,22,1,FALSE
"28",34,22,1,FALSE
"29",77,22,1,FALSE
"30",78,22,1,FALSE
"31",7,23,1,FALSE
"32",9,23,1,FALSE
"33",22,23,1,FALSE
"34",44,23,1,FALSE
"35",77,23,1,FALSE
"36",86,23,1,FALSE
"37",91,23,1,FALSE
"38",25,26,1,FALSE
"39",23,27,1,FALSE
"40",30,27,1,FALSE
"41",76,27,1,FALSE
"42",77,27,1,FALSE
"43",78,27,1,FALSE
"44",55,28,1,FALSE
"45",66,28,1,FALSE
"46",95,28,1,FALSE
"47",3,29,1,FALSE
"48",6,29,1,FALSE
"49",9,29,1,FALSE
"50",14,29,1,FALSE
"51",15,29,1,FALSE
"52",16,29,1,FALSE
"53",20,29,1,FALSE
"54",24,29,1,FALSE
"55",25,29,1,FALSE
"56",31,29,1,FALSE
"57",32,29,1,FALSE
"58",33,29,1,FALSE
"59",36,29,1,FALSE
"60",39,29,1,FALSE
"61",57,29,1,FALSE
"62",75,29,1,FALSE
"63",79,29,1,FALSE
"64",80,29,1,FALSE
"65",98,29,1,FALSE
"66",99,29,1,FALSE
"67",6,31,1,FALSE
"68",12,31,1,FALSE
"69",33,31,1,FALSE
"70",44,31,1,FALSE
"71",56,31,1,FALSE
"72",57,31,1,FALSE
"73",79,31,1,FALSE
"74",26,32,1,FALSE
"75",4,33,1,FALSE
"76",8,36,1,FALSE
"77",11,36,1,FALSE
"78",17,36,1,FALSE
"79",19,36,1,FALSE
"80",41,36,1,FALSE
"81",53,36,1,FALSE
"82",76,36,1,FALSE
"83",80,36,1,FALSE
"84",94,36,1,FALSE
"85",95,36,1,FALSE
"86",96,36,1,FALSE
"87",98,36,1,FALSE
"88",108,36,1,FALSE
"89",3,37,1,FALSE
"90",13,37,1,FALSE
"91",20,37,1,FALSE
"92",52,37,1,FALSE
"93",107,38,1,FALSE
"94",51,40,1,FALSE
"95",86,40,1,FALSE
"96",91,40,1,FALSE
"97",97,40,1,FALSE
"98",12,41,1,FALSE
"99",29,41,1,FALSE
"100",39,41,1,FALSE
"101",55,41,1,FALSE
"102",96,41,1,FALSE
"103",12,42,1,FALSE
"104",26,42,1,FALSE
"105",45,42,1,FALSE
"106",102,42,1,FALSE
"107",6,43,1,FALSE
"108",46,43,1,FALSE
"109",69,43,1,FALSE
"110",103,43,1,FALSE
"111",40,44,1,FALSE
"112",35,45,1,FALSE
"113",42,45,1,FALSE
"114",59,45,1,FALSE
"115",60,45,1,FALSE
"116",101,45,1,FALSE
"117",102,45,1,FALSE
"118",20,46,1,FALSE
"119",29,46,1,FALSE
"120",35,46,1,FALSE
"121",37,46,1,FALSE
"122",40,46,1,FALSE
"123",47,46,1,FALSE
"124",57,46,1,FALSE
"125",64,46,1,FALSE
"126",85,46,1,FALSE
"127",91,46,1,FALSE
"128",101,46,1,FALSE
"129",17,48,1,FALSE
"130",18,49,1,FALSE
"131",65,51,1,FALSE
"132",5,52,1,FALSE
"133",65,52,1,FALSE
"134",99,52,1,FALSE
"135",97,53,1,FALSE
"136",108,53,1,FALSE
"137",25,54,1,FALSE
"138",2,55,1,FALSE
"139",8,55,1,FALSE
"140",22,55,1,FALSE
"141",32,55,1,FALSE
