"","intergraph_id","adoption.date","city","clubs","community","discuss","free_time","friends","jours","med_sch_yr","meetings","patients","proximity","specialty"
"1",1,1,1,0,6,1,1,1,8,2,2,5,3,3
"2",2,12,1,0,1,2,3,4,4,6,0,4,3,1
"3",3,8,1,0,5,1,3,3,6,4,1,4,2,2
"4",4,9,1,0,4,1,1,1,5,5,1,3,3,1
"5",5,9,1,0,5,2,1,2,3,4,1,3,2,1
"6",6,10,1,0,5,2,2,1,6,3,0,5,3,2
"7",7,18,1,0,6,2,1,1,2,1,0,6,2,1
"8",8,3,1,0,5,2,2,1,8,4,0,6,1,1
"9",9,11,1,0,6,1,1,1,4,2,2,1,2,3
"10",10,2,1,0,5,1,2,4,3,4,1,6,3,1
"11",11,4,1,0,6,2,2,2,8,2,2,5,4,2
"12",12,5,1,0,4,2,1,1,3,5,0,6,1,1
"13",13,2,1,0,2,1,1,1,8,6,1,2,3,1
"14",14,15,1,0,4,2,3,4,2,5,1,5,3,1
"15",15,4,1,0,5,2,2,1,4,4,0,6,9,1
"16",16,15,1,0,3,1,1,1,4,5,2,1,2,2
"17",17,18,1,0,4,1,1,2,2,4,0,5,2,1
"18",18,5,1,0,5,2,1,2,4,5,1,6,3,1
"19",19,11,1,0,6,3,2,2,2,1,1,9,3,2
"20",20,2,1,0,4,1,1,2,8,4,2,3,3,2
"21",21,8,1,0,4,2,3,2,3,5,2,5,9,3
"22",22,7,1,1,3,2,2,3,3,6,2,4,2,3
"23",23,5,1,0,5,2,3,3,5,4,2,4,2,3
"24",24,4,1,0,1,2,1,2,5,5,1,4,2,2
"25",25,3,1,1,3,2,2,4,3,6,1,4,1,1
"26",26,6,1,0,5,2,2,1,3,3,1,5,1,1
"27",27,1,1,1,5,2,2,2,4,4,2,4,3,3
"28",28,5,1,0,4,1,3,1,8,5,2,3,2,2
"29",29,3,1,0,4,2,1,2,4,3,2,5,2,2
"30",30,15,1,0,3,1,3,4,3,6,1,4,1,1
"31",31,5,1,0,4,1,3,3,8,5,1,6,2,2
"32",32,7,1,0,6,1,1,2,4,1,1,3,3,2
"33",33,6,1,0,4,2,1,3,3,5,0,5,1,1
"34",34,14,1,0,6,2,1,9,2,1,0,2,2,1
"35",35,4,1,0,5,1,3,3,4,4,1,4,3,1
"36",36,8,1,0,5,1,3,3,5,3,1,5,2,2
"37",37,8,1,0,4,1,1,4,7,4,2,3,3,2
"38",38,14,1,0,6,3,1,1,2,1,0,2,1,1
"39",39,18,1,0,6,1,1,3,1,1,1,4,9,1
"40",40,98,1,9,3,2,3,3,4,5,2,9,3,4
"41",41,98,1,0,5,2,1,1,5,3,2,1,3,4
"42",42,98,1,0,6,2,2,3,6,2,2,5,4,4
"43",43,98,1,0,5,1,2,9,2,3,2,5,3,4
"44",44,98,1,0,3,1,2,3,6,5,2,2,3,4
"45",45,98,1,0,6,2,1,2,5,2,2,6,3,4
