"","Source","Target","Relationship"
"1","Paul Teller","Donald J. Trump","Special assistant"
"2","Donald J. Trump","Joe Hagin","Deputy chief of staff for operations"
"3","Donald J. Trump","Kellyanne Conway","White House Counselor"
"4","Donald J. Trump","Wilbur Ross","Secretary of Commerce"
"5","Donald J. Trump","George E. Norcross Iii","""whose friendship with Mr. Trump dates to the president’s Atlantic City years,"" per the New York Times"
"6","Donald J. Trump","Jared Kushner","Senior adviser"
"7","Donald J. Trump","Stephen A. Schwarzman","Chair of Trump's Strategic and Policy forum"
"8","Donald J. Trump","David Shulkin","Secretary of Veterans Affairs"
"9","Donald J. Trump","James Sherk","White House Domestic Policy Council labor and employment advisor"
"10","Donald J. Trump","Brian Baudreau","Former driver"
"11","Donald J. Trump","Sean Hannity","A top touchstone outside the White House, according to the New York Times"
"12","Donald J. Trump","Robert Goad","Special assistant"
"13","Donald J. Trump","Steven N. Cheung","Assistant communications director"
"14","Donald J. Trump","Bill Stepien","White House political director"
"15","Donald J. Trump","Ajit Pai","Appointed chairman of the Federal Communications Commission"
"16","Donald J. Trump","Allen Weisselberg","""One of Donald Trump's longtime confidants,"" per the Wall Street Journal"
"17","Donald J. Trump","Eric Ueland","""Leader"" in the transition team per CNN"
"18","Donald J. Trump","Ado Machida","Director of policy implementation for Trump transition team"
"19","Donald J. Trump","Thomas J. Barrack Jr.","Inauguration committee chairman"
"20","Donald J. Trump","Mehmet Ali Yalcindag","Business partners"
"21","Donald J. Trump","Victor Pinchuk","Trump made video appearance for Pinchuk's convention"
"22","Donald J. Trump","Russ Vought","Part of OMB transition team"
"23","Donald J. Trump","Mike Baselice","Pollster for Trump's presidential campaign"
"24","Donald J. Trump","Dan Coats","Director of National Intelligence"
"25","Donald J. Trump","Oleg Miserva","Miserva bought a Trump penthouse in Florida"
"26","Donald J. Trump","Michael Flynn","National Security Advisor"
"27","Donald J. Trump","John Mcentee","Personal aide to the President"
"28","Donald J. Trump","Betsy Devos","Secretary of Education"
"29","Donald J. Trump","Helen Ferre","Director media affairs"
"30","Donald J. Trump","Andrew Bremberg","Domestic policy advisor"
"31","Donald J. Trump","Alexander Angelson","Special assistant"
"32","Donald J. Trump","Scott Pruitt","Administrator of the Environmental Protection Agency"
"33","Donald J. Trump","Jason D. Greenblatt","Special Representative for International Negotiations"
"34","Donald J. Trump","Wells Griffith","Battleground states director for Trump campaign, senior adviser for the Department of Energy"
"35","Donald J. Trump","Jeff Sessions","Attorney General"
"36","Donald J. Trump","Shahira Knight","Special assistant"
"37","Donald J. Trump","Cliff Sims","Director of White House message strategy"
"38","Donald J. Trump","Marc E. Kasowitz","Has represented ""President Donald J. Trump in a wide range of litigation matters for over 15 years,"" per bio"
"39","Donald J. Trump","Indra Nooyi","Member of Trump's Strategic and Policy forum"
"40","Donald J. Trump","Reed S. Cordish","Assistant to the President for intragovernmental and technology initiatives"
"41","Donald J. Trump","Kathryn Talento","Special advisor"
"42","Donald J. Trump","Stephen B. Meister","Meister was Trump's attorney during a 2013 ethics suit of the NY AG"
"43","Donald J. Trump","Emin Agalarov","The Russian pop singer, son of billionaire real estate developer Aras Agalarov, says he befriended Trump"
"44","Donald J. Trump","Melania Trump","Married"
"45","Donald J. Trump","Stephen Miller","Senior Advisor to the President for Policy"
"46","Donald J. Trump","Ryan Zinke","Secretary of Interior"
"47","Donald J. Trump","Alexander Acosta","Nominee for Labor Secretary"
"48","Donald J. Trump","Prince Alwaleed Bin Talalthe","""the billionaire [...] aided Trump during his corporate bankruptcies in the 1990s by purchasing his yacht, which provided him with desperately needed cash,"" per Newsweek"
"49","Donald J. Trump","Sam Clovis","Former senior policy advisor on campaign"
"50","Donald J. Trump","Michael Fascitelli","Fascitelli is CEO of Vornado Realty Trust and donated the maximum to Trump's campaign"
"51","Donald J. Trump","Travis Kalanick","Former member of Trump's Strategic and Policy forum"
"52","Donald J. Trump","Joyce Meyer","Deputy assistant"
"53","Donald J. Trump","Ashley Marquis","Chief of staff of the National Economic Council"
"54","Donald J. Trump","Phil Ruffin","""Mr. Trump has 20-odd business partners, but none is closer to him than Mr. Ruffin,"" per the New York Times"
"55","Donald J. Trump","Elon Musk","Member of Trump's Strategic and Policy forum"
"56","Donald J. Trump","Christopher Ruddy","""One of Trump's longtime friends,"" according to the Washington Post"
"57","Donald J. Trump","Sonny Perdue","Secretary of Agriculture"
"58","Donald J. Trump","Paul Manafort","Former campaign manager"
"59","Donald J. Trump","Edwin Feulner","""Leader"" in the transition team per CNN"
"60","Donald J. Trump","Linda Mcmahon","Administrator of the Small Business Administration"
"61","Donald J. Trump","Julia Hahn","Deputy political strategist"
"62","Donald J. Trump","John F. Kelly","Secretary of Department of Homeland Security"
"63","Donald J. Trump","Elaine Chao","Secretary of Transportation"
"64","Donald J. Trump","Dina Powell","Assistant to the president and senior counselor for economic initiatives"
"65","Donald J. Trump","Robert Lighthizer","Nominee for U.S. Trade Representative"
"66","Donald J. Trump","Curtis Dubay","Part of Treasury Department transition team"
"67","Donald J. Trump","Tom Bossert","Homeland Security Advisor"
"68","Donald J. Trump","Corey Lewandowski","Former campaign manager"
"69","Donald J. Trump","Michael Pompeo","Director of CIA"
"70","Donald J. Trump","Reince Priebus","White House Chief of Staff"
"71","Donald J. Trump","Jennifer Korn","Deputy director"
"72","Donald J. Trump","Sam Nunberg","Former adviser"
"73","Donald J. Trump","Andeliz Castillo","Special assistant"
"74","Donald J. Trump","Ivanka Trump","Parent/child"
"75","Donald J. Trump","Edwin Meese","""Leader"" in the transition team per CNN"
"76","Donald J. Trump","Brian Burns","Ambassador to Ireland"
"77","Donald J. Trump","Donald Trump Jr.","Parent/child"
"78","Donald J. Trump","Michael J. Ellis","Special assistant"
"79","Donald J. Trump","John Eisenberg","Deputy assistant"
"80","Donald J. Trump","Thomas Pyle","Head of the Department of Energy transition team"
"81","Donald J. Trump","Uttam Dhillon","Special assistant"
"82","Donald J. Trump","Terry Branstad","Nominee for Ambassador to China"
"83","Donald J. Trump","Jamie Dimon","Member of Trump's Strategic and Policy forum"
"84","Donald J. Trump","Raj Shah","Deputy communications director"
"85","Donald J. Trump","Ben Howard","Special assistant"
"86","Donald J. Trump","Sarah Makin","Deputy assistant"
"87","Donald J. Trump","Robert Mercer","Major donor"
"88","Donald J. Trump","Rick Dearborn","Deputy chief of staff for legislative and intergovernmental affairs"
"89","Donald J. Trump","Timothy Pataki","Special assistant"
"90","Donald J. Trump","Jason D. Meister","Worked on Trump's NY campaign, goes on Fox News as a Trump surrogate"
"91","Donald J. Trump","Bill Mcginley","Deputy assistant"
"92","Donald J. Trump","Barry Bennett","""Informal advisor to the Donald Trump campaign,"" per the Washington Post"
"93","Donald J. Trump","Chris Christie","Former leader of the presidential transition team"
"94","Donald J. Trump","Elena Gorlova","Gorlova bought a Trump penthouse in Florida"
"95","Carl C. Icahn","Donald J. Trump","Special advisor"
"96","Jarrod P. Agen","Donald J. Trump","Deputy assistant"
"97","Carter Page","Donald J. Trump","Foreign policy adviser"
"98","Newt Gingrich","Donald J. Trump","A top touchstone outside the White House, according to the New York Times"
"99","Christine Ciccone","Donald J. Trump","""Leader"" in the transition team per CNN"
"100","Aras Agalarov","Donald J. Trump","The billionaire real estate developer says he befriended Trump, and also has served as a liaison between Trump and Putin"
"101","Rex Tillerson","Donald J. Trump","Secretary of State"
"102","Jeremy Katz","Donald J. Trump","Deputy director of the National Economic Council"
"103","Dan Scavino","Donald J. Trump","Director of Social Media, White House"
"104","Joseph Kellogg","Donald J. Trump","Chief of staff and executive secretary, National Security Council"
"105","Mangal Prabhat Lodha","Donald J. Trump","Business partners"
"106","Sean Spicer","Donald J. Trump","White House Press Secretary"
"107","Sergei Millian","Donald J. Trump","Appeared in a Facebook photo together in 2014"
"108","Stephanie Grisham","Donald J. Trump","Deputy press secretary"
"109","Roger J. Stone, Jr.","Donald J. Trump","""Longtime adviser,"" per Politico"
"110","Ginni Rometty","Donald J. Trump","Member of Trump's Strategic and Policy forum"
"111","Michael D. Cohen","Donald J. Trump","Cohen is Trump's personal attorney"
"112","Ryan Jarmula","Donald J. Trump","Special assistant"
"113","Kathleen Troia Mcfarland","Donald J. Trump","Deputy National Security Advisor"
"114","Peter Navarro","Donald J. Trump","Head of National Trade Council"
"115","Kalpesh Mehta","Donald J. Trump","""exclusive representative of Trump's businesses in India,"" per Newsweek"
"116","Robert Kraft","Donald J. Trump","A top touchstone outside the White House, according to the New York Times"
"117","Ross Worthington","Donald J. Trump","Advisor for policy, strategy, and speechwriting"
"118","James Mattis","Donald J. Trump","Secretary of Defense"
"119","David M. Friedman","Donald J. Trump","Ambassador designate to Israel"
"120","Felipe Yaryura","Donald J. Trump","The Argentine real estate developer is said to be friends with the Trump family"
"121","Vince Haley","Donald J. Trump","Advisor for policy, strategy, and speechwriting"
"122","Lindsay Walters","Donald J. Trump","White House spokeswoman"
"123","Justin Clark","Donald J. Trump","Director of inter-governmental affairs"
"124","Rick Perry","Donald J. Trump","Secretary of Energy"
"125","Rhona Graff Riccio","Donald J. Trump","Assistant"
"126","Tom Price","Donald J. Trump","Secretary of Health and Human Services"
"127","Stephen A. Feinberg","Donald J. Trump","Member of Trump's economic advisory council"
"128","Joseph Hagin","Donald J. Trump","Deputy chief of staff"
"129","Sean Cairncross","Donald J. Trump","Deputy assistant"
"130","Madeleine Westerhout","Donald J. Trump","Executive assistant"
"131","Mick Mulvaney","Donald J. Trump","Director of Office of Management and Budget"
"132","Omarosé Onee Manigault","Donald J. Trump","Assistant to the President and Director of Communications for the Office of Public Liaison"
"133","George Gigicos","Donald J. Trump","Director of advance"
"134","Ben Carson","Donald J. Trump","Secretary of HUD"
"135","Recep Tayyip Erdogan","Donald J. Trump","Erdogan, the president of Turkey and a vocal Trump supporter, met him during the ribbon-cutting of a Trump property"
"136","Steven Roth","Donald J. Trump","Former campaign advisor, going to co-head infrastructure council"
"137","Ike Perlmutter","Donald J. Trump","Perlmutter ""has been informally advising Mr. Trump on veterans issues,"" per the New York Times"
"138","Bethany Scully","Donald J. Trump","Special assistant"
"139","Boris Epshteyn","Donald J. Trump","Assistant director of communications"
"140","Paul Winfree","Donald J. Trump","Deputy director of the domestic policy council"
"141","Roger Khafif","Donald J. Trump","Told Russian buyers he was a partner in Trump project in Sunny Isles, Fla."
"142","Alexander Nix","Donald J. Trump","Worked on presidential campaign. May continue work for the administration."
"143","Walter J. ""jay"" Clayton Iii","Donald J. Trump","Nominee for SEC Chairman"
"144","John Gray","Donald J. Trump","Part of OMB transition team"
"145","Stephen Bannon","Donald J. Trump","White House Chief Strategist and Senior Advisor"
"146","Alex Shnaider","Donald J. Trump","""Trump’s primary partner for his lucrative business in Canada,"" per Newsweek"
"147","Sergey I. Kislyak","Donald J. Trump","The Russian diplomat sat in on Trump foreign policy speech in April 2016"
"148","Marc Short","Donald J. Trump","Director of legislative affairs"
"149","Jessica Ditto","Donald J. Trump","Deputy communications director"
"150","Andy Puzder","Donald J. Trump","Former nominee for Secretary of Labor"
"151","Marc Lotter","Donald J. Trump","Special assistant"
"152","Don Mcgahn","Donald J. Trump","White House Counsel"
