"","source_st","target_st"
"1",1,68
"2",3,55
"3",3,104
"4",3,83
"5",3,79
"6",4,36
"7",4,59
"8",4,129
"9",5,13
"10",5,19
"11",5,18
"12",5,21
"13",5,67
"14",5,69
"15",5,114
"16",5,49
"17",5,110
"18",6,24
"19",6,106
"20",6,69
"21",6,114
"22",6,44
"23",6,120
"24",6,110
"25",6,5
"26",6,19
"27",6,91
"28",6,12
"29",6,147
"30",6,105
"31",144,58
"32",144,48
"33",144,131
"34",144,94
"35",144,97
"36",144,135
"37",9,77
"38",9,101
"39",9,136
"40",10,99
"41",10,105
"42",11,27
"43",12,106
"44",12,69
"45",12,91
"46",12,92
"47",12,5
"48",12,111
"49",12,70
"50",12,134
"51",12,110
"52",12,24
"53",12,20
"54",13,103
"55",13,5
"56",13,19
"57",13,70
"58",13,21
"59",14,105
"60",14,44
"61",15,100
"62",16,28
"63",16,11
"64",16,53
"65",17,45
"66",69,13
"67",23,135
"68",24,129
"69",25,111
"70",25,68
"71",25,69
"72",25,88
"73",25,16
"74",25,121
"75",25,11
"76",25,27
"77",25,1
"78",26,127
"79",26,144
"80",27,11
"81",27,68
"82",27,83
"83",27,16
"84",28,16
"85",29,50
"86",30,68
"87",30,111
"88",30,25
"89",30,142
"90",30,1
"91",31,18
"92",20,134
"93",NA,121
"94",NA,71
"95",NA,79
"96",32,48
"97",32,97
"98",32,29
"99",32,50
"100",32,85
"101",32,58
"102",32,131
"103",32,84
"104",35,39
"105",35,34
"106",35,99
"107",35,117
"108",35,10
"109",36,59
"110",36,129
"111",36,33
"112",136,116
"113",136,9
"114",136,101
"115",136,77
"116",136,127
"117",39,119
"118",39,140
"119",39,10
"120",39,67
"121",39,35
"122",146,108
"123",40,44
"124",40,130
"125",40,149
"126",41,124
"127",41,44
"128",41,98
"129",41,119
"130",41,73
"131",41,117
"132",41,135
"133",NA,74
"134",NA,118
"135",44,40
"136",44,67
"137",44,105
"138",45,117
"139",45,34
"140",45,72
"141",46,88
"142",46,71
"143",46,80
"144",46,138
"145",46,87
"146",46,42
"147",46,122
"148",46,36
"149",48,58
"150",48,97
"151",48,23
"152",48,32
"153",48,131
"154",48,50
"155",49,62
"156",49,69
"157",49,82
"158",NA,99
"159",NA,96
"160",NA,NA
"161",140,105
"162",140,10
"163",140,35
"164",140,67
"165",140,39
"166",140,119
"167",140,66
"168",140,2
"169",50,94
"170",51,113
"171",51,28
"172",51,112
"173",51,55
"174",51,83
"175",52,117
"176",52,34
"177",52,105
"178",52,44
"179",52,79
"180",52,72
"181",53,16
"182",54,7
"183",55,28
"184",55,66
"185",55,104
"186",55,113
"187",55,112
"188",56,122
"189",56,107
"190",56,90
"191",58,48
"192",58,97
"193",58,23
"194",58,32
"195",58,29
"196",58,50
"197",59,36
"198",59,129
"199",59,4
"200",59,24
"201",135,41
"202",135,23
"203",60,79
"204",60,9
"205",60,73
"206",60,101
"207",61,24
"208",61,92
"209",62,49
"210",62,70
"211",62,69
"212",63,112
"213",63,3
"214",63,55
"215",63,104
"216",63,83
"217",63,130
"218",63,28
"219",63,66
"220",63,67
"221",63,116
"222",66,120
"223",66,67
"224",66,55
"225",66,68
"226",67,66
"227",67,105
"228",67,21
"229",67,86
"230",67,18
"231",67,121
"232",67,120
"233",67,10
"234",67,35
"235",67,98
"236",67,44
"237",67,40
"238",68,111
"239",68,66
"240",68,25
"241",68,11
"242",68,53
"243",68,1
"244",134,21
"245",110,18
"246",85,62
"247",61,49
"248",71,107
"249",71,46
"250",72,39
"251",72,41
"252",72,79
"253",72,119
"254",74,31
"255",74,NA
"256",74,118
"257",74,107
"258",74,18
"259",74,108
"260",74,88
"261",74,66
"262",74,146
"263",75,55
"264",75,118
"265",75,88
"266",75,87
"267",75,41
"268",76,4
"269",76,36
"270",79,60
"271",79,99
"272",79,75
"273",79,116
"274",80,138
"275",80,46
"276",80,124
"277",81,108
"278",81,142
"279",82,49
"280",82,114
"281",82,54
"282",83,28
"283",22,21
"284",69,70
"285",70,114
"286",12,5
"287",84,50
"288",84,10
"289",84,39
"290",84,35
"291",84,65
"292",61,66
"293",86,66
"294",86,14
"295",86,105
"296",86,89
"297",86,117
"298",86,72
"299",86,123
"300",88,46
"301",90,107
"302",90,122
"303",90,56
"304",90,108
"305",91,66
"306",91,3
"307",91,7
"308",138,80
"309",138,46
"310",138,71
"311",138,130
"312",94,50
"313",94,144
"314",94,131
"315",94,135
"316",94,23
"317",94,78
"318",94,43
"319",96,42
"320",96,148
"321",96,147
"322",96,107
"323",96,NA
"324",97,48
"325",97,23
"326",97,58
"327",98,99
"328",98,105
"329",98,84
"330",98,86
"331",99,35
"332",99,NA
"333",99,NA
"334",99,39
"335",NA,139
"336",100,15
"337",101,9
"338",103,13
"339",103,19
"340",104,83
"341",104,55
"342",69,63
"343",69,110
"344",69,62
"345",69,142
"346",69,5
"347",69,133
"348",69,111
"349",69,68
"350",69,36
"351",69,49
"352",69,20
"353",69,25
"354",69,114
"355",69,18
"356",69,21
"357",69,92
"358",69,24
"359",105,44
"360",105,117
"361",105,14
"362",105,40
"363",105,86
"364",105,10
"365",105,35
"366",105,39
"367",105,66
"368",105,98
"369",106,114
"370",106,12
"371",106,36
"372",106,18
"373",106,69
"374",106,147
"375",106,49
"376",107,96
"377",107,148
"378",107,147
"379",107,42
"380",108,81
"381",108,NA
"382",109,107
"383",109,46
"384",109,124
"385",18,18
"386",20,67
"387",21,70
"388",22,114
"389",69,69
"390",70,134
"391",111,69
"392",111,68
"393",111,25
"394",111,121
"395",111,110
"396",111,16
"397",111,11
"398",111,1
"399",111,66
"400",111,120
"401",112,63
"402",112,113
"403",112,81
"404",112,130
"405",113,66
"406",113,105
"407",113,112
"408",113,55
"409",113,83
"410",113,104
"411",113,63
"412",114,106
"413",114,147
"414",114,59
"415",114,12
"416",114,18
"417",114,21
"418",114,49
"419",114,24
"420",115,126
"421",115,88
"422",115,NA
"423",116,86
"424",116,67
"425",116,136
"426",139,NA
"427",139,57
"428",139,116
"429",118,74
"430",118,NA
"431",118,44
"432",142,133
"433",142,78
"434",119,39
"435",120,66
"436",120,55
"437",120,148
"438",120,69
"439",120,37
"440",121,67
"441",121,79
"442",121,25
"443",121,88
"444",121,116
"445",121,86
"446",121,69
"447",122,80
"448",122,124
"449",122,12
"450",122,56
"451",122,90
"452",122,107
"453",147,114
"454",147,148
"455",123,47
"456",123,86
"457",123,66
"458",123,132
"459",124,80
"460",124,135
"461",124,46
"462",85,29
"463",85,50
"464",85,32
"465",NA,99
"466",NA,99
"467",126,115
"468",126,73
