"","from","to"
"1",1,6
"2",1,9
"3",1,12
"4",1,13
"5",1,15
"6",1,16
"7",2,3
"8",2,9
"9",2,12
"10",2,13
"11",2,14
"12",2,16
"13",2,18
"14",2,21
"15",2,25
"16",2,26
"17",3,1
"18",3,12
"19",3,13
"20",3,14
"21",3,18
"22",3,21
"23",3,25
"24",4,6
"25",4,9
"26",4,13
"27",4,16
"28",4,18
"29",5,3
"30",5,9
"31",5,12
"32",5,13
"33",5,15
"34",5,18
"35",5,26
"36",6,1
"37",6,18
"38",6,20
"39",6,25
"40",6,28
"41",7,13
"42",7,15
"43",7,16
"44",7,18
"45",7,20
"46",7,21
"47",7,23
"48",8,12
"49",8,15
"50",8,16
"51",8,18
"52",8,27
"53",9,18
"54",9,25
"55",10,18
"56",10,20
"57",11,12
"58",11,13
"59",11,14
"60",11,15
"61",11,16
"62",11,18
"63",11,26
"64",12,1
"65",12,18
"66",12,27
"67",13,6
"68",13,9
"69",13,12
"70",13,13
"71",13,15
"72",13,16
"73",13,18
"74",13,21
"75",13,25
"76",14,6
"77",14,13
"78",14,14
"79",14,15
"80",14,24
"81",15,12
"82",15,13
"83",15,14
"84",15,16
"85",15,18
"86",15,26
"87",16,6
"88",16,9
"89",16,13
"90",16,16
"91",16,18
"92",16,26
"93",17,16
"94",17,18
"95",17,21
"96",17,24
"97",17,25
"98",17,26
"99",18,1
"100",18,6
"101",18,12
"102",18,15
"103",18,16
"104",18,18
"105",18,20
"106",18,21
"107",18,22
"108",19,1
"109",19,9
"110",19,13
"111",19,14
"112",19,15
"113",19,18
"114",19,21
"115",19,24
"116",20,16
"117",20,18
"118",21,1
"119",21,9
"120",21,12
"121",21,13
"122",21,16
"123",21,18
"124",21,24
"125",22,1
"126",22,6
"127",22,9
"128",22,12
"129",22,13
"130",22,14
"131",22,15
"132",22,16
"133",22,18
"134",23,18
"135",23,21
"136",23,22
"137",23,26
"138",23,28
"139",24,12
"140",24,13
"141",24,16
"142",24,18
"143",24,23
"144",25,6
"145",25,9
"146",25,12
"147",25,14
"148",25,16
"149",25,21
"150",25,26
"151",25,28
"152",26,6
"153",26,13
"154",26,14
"155",26,15
"156",26,16
"157",26,18
"158",26,24
"159",26,26
"160",27,1
"161",27,9
"162",27,12
"163",27,13
"164",27,14
"165",27,21
"166",28,16
