"","birthdate","birthplace","sciencepoly","polytech","polyyear","university","normal-sch","ena","enayear","inspec-gen","igyear","cabinet","finance-min","party","religion","masons","zipcode","socialreg","elitevote","eliteprom","prestige","fathers-lev","clubs","topboards"
"1","1943","2","1","1","1963","1","2","1","1970","2","?","1","3","1","4","1","75016","0","24","1","0","1","2","0"
"2","1935","2","2","1","1955","2","2","2","?","2","?","2","3","9","2","1","75008","1","52","1","1","2","3","6"
"3","1924","1","2","2","?","1","2","2","?","2","?","2","3","11","4","0","75016","1","45","1","2","3","1","3"
"4","1933","2","1","2","?","1","2","1","1960","2","?","2","1","7","2","0","1","1","28","1","2","?","0","0"
"5","1931","1","1","2","?","1","2","1","1957","2","?","1","2","9","3","1","75016","1","45","1","1","2","3","4"
"6","1934","2","1","2","?","1","2","1","1962","2","?","1","3","4","4","1","92150","1","6","0","1","3","3","3"
"7","1932","1","1","2","?","2","2","2","?","2","?","2","3","11","4","0","75007","1","48","1","2","3","1","3"
"8","1931","1","2","2","?","1","2","2","?","2","?","2","3","11","4","1","92210","1","34","1","1","3","3","3"
"9","1911","2","1","2","?","1","2","2","?","1","1934","2","1","10","2","0","75001","1","13","0","2","3","0","0"
"10","1935","1","1","2","?","2","2","2","?","2","?","2","3","11","2","0","75016","1","23","1","1","3","3","13"
"11","1925","2","1","2","?","1","2","1","1949","1","1949","1","1","5","3","0","92200","1","42","1","2","3","1","12"
"12","1933","1","2","2","?","2","2","2","?","2","?","2","3","10","4","1","1","1","23","1","2","3","1","0"
"13","1932","2","1","2","?","1","2","1","1959","1","1959","1","1","5","3","0","75016","0","39","1","1","2","3","3"
"14","1950","2","1","2","?","2","2","1","1975","1","1975","1","2","3","4","0","1","0","23","1","0","3","0","0"
"15","1945","2","1","2","?","1","2","1","1973","1","1973","1","1","10","2","0","94160","1","38","1","1","3","2","4"
"16","1929","1","1","2","?","1","2","1","1958","1","1958","1","1","9","2","0","75001","1","35","1","2","3","0","0"
"17","1943","2","2","2","?","1","2","1","1969","2","?","1","1","3","2","0","75007","0","31","1","0","1","1","1"
"18","1937","2","2","1","1956","2","2","2","?","2","?","2","3","5","4","0","75016","0","37","1","0","1","1","4"
"19","1934","1","1","2","?","1","2","1","1961","1","1961","1","3","12","4","1","75013","1","36","1","2","3","3","8"
"20","1949","2","2","2","?","2","1","1","1976","1","1976","1","1","13","4","1","75016","0","13","0","0","3","2","2"
"21","1942","1","2","1","1961","2","2","1","1967","1","1967","1","1","10","2","0","75014","0","38","1","0","1","2","3"
"22","1929","2","2","1","1958","1","2","2","?","2","?","1","3","3","4","0","92200","0","56","1","0","2","2","11"
"23","1928","1","1","2","?","1","2","1","1952","1","1952","1","1","9","4","0","75016","1","8","0","2","2","1","3"
"24","1921","2","2","1","1940","2","2","2","?","2","?","1","3","8","2","1","75016","1","25","1","2","3","3","5"
"25","1929","2","1","2","?","1","2","1","1955","1","1955","2","3","3","2","1","92200","1","34","1","1","?","3","9"
"26","1942","2","1","2","?","1","2","1","1971","1","1971","1","1","8","2","0","75015","0","35","1","0","2","3","4"
"27","1928","1","1","2","?","2","2","1","1953","1","1953","1","1","8","2","0","75016","1","39","1","1","3","2","5"
"28","1936","1","2","1","1955","2","2","2","?","2","?","1","3","4","4","1","75015","0","7","0","0","2","3","16"
