"","from","to","friendship"
"1",4,1,4
"2",11,1,3
"3",13,1,4
"4",17,1,5
"5",19,1,4
"6",25,1,4
"7",29,1,5
"8",33,1,3
"9",45,1,3
"10",66,1,3
"11",87,1,3
"12",113,1,4
"13",114,1,4
"14",157,1,4
"15",181,1,4
"16",4,2,3
"17",8,2,4
"18",12,2,5
"19",17,2,3
"20",18,2,5
"21",19,2,3
"22",29,2,3
"23",32,2,4
"24",87,2,3
"25",95,2,4
"26",105,2,3
"27",107,2,3
"28",129,2,3
"29",134,2,3
"30",135,2,4
"31",164,2,3
"32",165,2,5
"33",15,3,3
"34",71,3,2
"35",99,3,3
"36",120,3,4
"37",140,3,3
"38",1,4,3
"39",2,4,3
"40",8,4,3
"41",13,4,4
"42",14,4,3
"43",16,4,3
"44",18,4,4
"45",19,4,5
"46",23,4,3
"47",24,4,3
"48",29,4,3
"49",33,4,2
"50",37,4,3
"51",57,4,1
"52",65,4,3
"53",68,4,3
"54",71,4,2
"55",83,4,3
"56",92,4,3
"57",95,4,4
"58",149,4,3
"59",168,4,4
"60",181,4,3
"61",26,5,4
"62",27,5,4
"63",35,5,4
"64",39,5,3
"65",80,5,3
"66",94,5,3
"67",145,5,3
"68",147,5,3
"69",156,5,3
"70",170,5,5
"71",172,5,3
"72",185,5,5
"73",193,5,3
"74",214,5,3
"75",31,6,3
"76",58,6,3
"77",67,6,3
"78",130,6,5
"79",141,6,4
"80",159,6,4
"81",164,6,3
"82",187,6,3
"83",201,6,4
"84",215,6,3
"85",20,7,4
"86",21,7,3
"87",27,7,4
"88",30,7,4
"89",34,7,4
"90",64,7,3
"91",86,7,4
"92",98,7,5
"93",104,7,5
"94",123,7,5
"95",124,7,3
"96",161,7,3
"97",182,7,5
"98",191,7,5
"99",203,7,4
"100",2,8,5
"101",11,8,3
"102",19,8,3
"103",131,8,3
"104",134,8,3
"105",164,8,3
"106",165,8,3
"107",176,8,3
"108",36,9,5
"109",61,9,3
"110",17,10,3
"111",57,10,1
"112",97,10,3
"113",117,10,3
"114",121,10,1
"115",13,11,3
"116",14,11,3
"117",16,11,2
"118",17,11,3
"119",19,11,3
"120",24,11,3
"121",25,11,3
"122",29,11,3
"123",122,11,3
"124",2,12,4
"125",18,12,3
"126",22,12,4
"127",29,12,3
"128",102,12,3
"129",112,12,5
"130",122,12,3
"131",125,12,3
"132",131,12,3
"133",134,12,4
"134",165,12,5
"135",198,12,3
"136",4,13,3
"137",10,13,1
"138",17,13,3
"139",18,13,3
"140",19,13,3
"141",29,13,4
"142",71,13,2
"143",80,13,3
"144",114,13,3
"145",4,14,3
"146",10,14,1
"147",11,14,4
"148",16,14,2
"149",18,14,3
"150",19,14,3
"151",24,14,3
"152",29,14,5
"153",71,14,3
"154",80,14,3
"155",87,14,3
"156",211,14,3
"157",3,15,4
"158",18,15,3
"159",63,15,3
"160",106,15,4
"161",158,15,5
"162",212,15,3
"163",3,16,3
"164",11,16,4
"165",14,16,3
"166",17,16,3
"167",23,16,4
"168",24,16,3
"169",25,16,4
"170",28,16,3
"171",31,16,3
"172",71,16,3
"173",80,16,3
"174",94,16,3
"175",135,16,3
"176",137,16,4
"177",155,16,3
"178",166,16,4
"179",209,16,4
"180",1,17,4
"181",2,17,5
"182",10,17,1
"183",11,17,3
"184",13,17,4
"185",14,17,4
"186",16,17,3
"187",18,17,3
"188",19,17,3
"189",24,17,3
"190",25,17,3
"191",27,17,3
"192",29,17,3
"193",31,17,3
"194",71,17,2
"195",94,17,4
"196",135,17,4
"197",150,17,3
"198",157,17,4
"199",170,17,3
"200",181,17,3
"201",2,18,5
"202",3,18,3
"203",4,18,3
"204",12,18,3
"205",15,18,4
"206",29,18,3
"207",106,18,3
"208",134,18,4
"209",158,18,3
"210",165,18,3
"211",189,18,3
"212",1,19,3
"213",4,19,4
"214",8,19,3
"215",13,19,3
"216",14,19,3
"217",17,19,3
"218",23,19,5
"219",29,19,4
"220",65,19,4
"221",119,19,3
"222",134,19,3
"223",3,20,3
"224",7,20,4
"225",16,20,2
"226",23,20,3
"227",25,20,3
"228",99,20,4
"229",100,20,3
"230",101,20,3
"231",114,20,4
"232",115,20,3
"233",120,20,3
"234",140,20,3
"235",155,20,3
"236",166,20,4
"237",190,20,3
"238",7,21,3
"239",30,21,3
"240",34,21,5
"241",86,21,3
"242",182,21,3
"243",198,21,4
"244",200,21,3
"245",203,21,3
"246",206,21,4
"247",12,22,4
"248",29,22,3
"249",40,22,3
"250",112,22,3
"251",122,22,3
"252",125,22,3
"253",134,22,4
"254",165,22,5
"255",194,22,3
"256",3,23,3
"257",19,23,4
"258",29,23,3
"259",69,23,3
"260",119,23,3
"261",134,23,4
"262",196,23,3
"263",2,24,3
"264",11,24,3
"265",13,24,3
"266",14,24,4
"267",16,24,3
"268",17,24,3
"269",25,24,3
"270",29,24,3
"271",40,24,3
"272",71,24,3
"273",80,24,5
