"","userid","artistid","artist_name","plays"
"1","00000c289a1829a808ac09c00daf10bc3c4e223b","3bd73256-3905-4f3a-97e2-8b341527f805","betty blowtorch",2137
"2","00000c289a1829a808ac09c00daf10bc3c4e223b","f2fb0ff0-5679-42ec-a55c-15109ce6e320","die Ärzte",1099
"3","00000c289a1829a808ac09c00daf10bc3c4e223b","b3ae82c2-e60b-4551-a76d-6620f1b456aa","melissa etheridge",897
"4","00000c289a1829a808ac09c00daf10bc3c4e223b","3d6bbeb7-f90e-4d10-b440-e153c0d10b53","elvenking",717
"5","00000c289a1829a808ac09c00daf10bc3c4e223b","bbd2ffd7-17f4-4506-8572-c1ea58c3f9a8","juliette & the licks",706
"6","00000c289a1829a808ac09c00daf10bc3c4e223b","8bfac288-ccc5-448d-9573-c33ea2aa5c30","red hot chili peppers",691
"7","00000c289a1829a808ac09c00daf10bc3c4e223b","6531c8b1-76ea-4141-b270-eb1ac5b41375","magica",545
"8","00000c289a1829a808ac09c00daf10bc3c4e223b","21f3573f-10cf-44b3-aeaa-26cccd8448b5","the black dahlia murder",507
"9","00000c289a1829a808ac09c00daf10bc3c4e223b","c5db90c4-580d-4f33-b364-fbaa5a3a58b5","the murmurs",424
"10","00000c289a1829a808ac09c00daf10bc3c4e223b","0639533a-0402-40ba-b6e0-18b067198b73","lunachicks",403
"11","00000c289a1829a808ac09c00daf10bc3c4e223b","a342964d-ca53-4e54-96dc-e8501851e77f","walls of jericho",393
"12","00000c289a1829a808ac09c00daf10bc3c4e223b","f779ed95-66c8-4493-9f46-3967eba785a8","letzte instanz",387
"13","00000c289a1829a808ac09c00daf10bc3c4e223b","7b885d42-3c41-4f43-9944-a5855ec5155e","goldfrapp",361
"14","00000c289a1829a808ac09c00daf10bc3c4e223b","e000d76b-afff-4286-a5fd-7ea6405cb80f","horrorpops",358
"15","00000c289a1829a808ac09c00daf10bc3c4e223b","adf334c2-9186-48cd-afcc-c748dd47e9b4","the butchies",329
"16","00000c289a1829a808ac09c00daf10bc3c4e223b","7e870dd5-2667-454b-9fcf-a132dd8071f1","jack off jill",316
"17","00000c289a1829a808ac09c00daf10bc3c4e223b","41593aa1-dda6-4a5a-af87-0eebf93e3775","babes in toyland",310
"18","00000c289a1829a808ac09c00daf10bc3c4e223b","e8374874-4178-4869-b92e-fef6bf30dc04","dropkick murphys",302
"19","00000c289a1829a808ac09c00daf10bc3c4e223b","295a3ae3-9e81-4cff-a36f-8d48b8fb4dcf","all:my:faults",288
"20","00000c289a1829a808ac09c00daf10bc3c4e223b","2d67239c-aa40-4ad5-a807-9052b66857a6","le tigre",281
"21","00000c289a1829a808ac09c00daf10bc3c4e223b","ff7f80cd-05c2-4068-a00e-fbfbd453d049","schandmaul",244
"22","00000c289a1829a808ac09c00daf10bc3c4e223b","83998f9c-846b-4294-aede-d7735531c901","edguy",232
"23","00000c289a1829a808ac09c00daf10bc3c4e223b","fb01635c-51fc-4cad-b71f-62e18bb3433b","maximum the hormone",231
"24","00000c289a1829a808ac09c00daf10bc3c4e223b","3f20aae7-694e-4a37-9b82-02029cf8cd4c","all ends",229
"25","00000c289a1829a808ac09c00daf10bc3c4e223b","ff6e677f-91dd-4986-a174-8db0474b1799","jack johnson",227
"26","00000c289a1829a808ac09c00daf10bc3c4e223b","8000598a-5edb-401c-8e6d-36b167feaf38","eluveitie",222
"27","00000c289a1829a808ac09c00daf10bc3c4e223b","2ee6f445-005e-40dd-8bb8-474849216a38","rasputina",220
"28","00000c289a1829a808ac09c00daf10bc3c4e223b","8688124b-dcff-4a39-9f30-4825d445014f","london after midnight",210
"29","00000c289a1829a808ac09c00daf10bc3c4e223b","95e1ead9-4d31-4808-a7ac-32c3614c116b","the killers",208
"30","00000c289a1829a808ac09c00daf10bc3c4e223b","6c99c2c9-6d19-4d61-8c22-e583b911f0a3","mutyumu",205
"31","00000c289a1829a808ac09c00daf10bc3c4e223b","6b335658-22c8-485d-93de-0bc29a1d0349","judas priest",198
"32","00000c289a1829a808ac09c00daf10bc3c4e223b","c995a379-60b9-404b-bd97-a7e2de0751d3","rob zombie",198
"33","00000c289a1829a808ac09c00daf10bc3c4e223b","e0ab57c6-7ba1-4dca-b36e-fae4c0c269e1","the bosshoss",189
"34","00000c289a1829a808ac09c00daf10bc3c4e223b","c7423e0c-ab3e-4ab4-be10-cdff5a9d3062","blue Öyster cult",185
"35","00000c289a1829a808ac09c00daf10bc3c4e223b","0fb62639-4143-443b-8779-6867a1d08230","sandra nasic",183
"36","00000c289a1829a808ac09c00daf10bc3c4e223b","144ef525-85e9-40c3-8335-02c32d0861f3","john mayer",182
"37","00000c289a1829a808ac09c00daf10bc3c4e223b","e36e78eb-3ace-4acd-882c-16789e700ab7","sleater-kinney",175
"38","00000c289a1829a808ac09c00daf10bc3c4e223b","9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa","the who",168
"39","00000c289a1829a808ac09c00daf10bc3c4e223b","4ebed31c-4984-432c-8d78-0f08a4b169a2","disciple",154
"40","00000c289a1829a808ac09c00daf10bc3c4e223b","e54da459-21ee-4f0c-82c3-a7379d6937e7","tanzwut",153
"41","00000c289a1829a808ac09c00daf10bc3c4e223b","66da25f9-1534-4dd1-b88c-718bc24e1ccd","guano apes",151
"42","00000c289a1829a808ac09c00daf10bc3c4e223b","b071f9fa-14b0-4217-8e97-eb41da73f598","the rolling stones",150
"43","00000c289a1829a808ac09c00daf10bc3c4e223b","76e78b58-f301-4975-8058-7f84d8360738","little big town",145
"44","00000c289a1829a808ac09c00daf10bc3c4e223b","b506d0b1-fd16-4ba0-a3dc-a20095c93024","team dresch",137
"45","00000c289a1829a808ac09c00daf10bc3c4e223b","cb5473ba-8e02-4a76-a08e-d0887f6ecea2","betty",135
"46","00000c289a1829a808ac09c00daf10bc3c4e223b","57111f1f-9829-45ea-bb4e-a5aba37cd1d1","l7",135
"47","00000c289a1829a808ac09c00daf10bc3c4e223b","e9a639e2-3840-410a-bd6d-4e7bdb66734d","bif naked",134
