"","name","Year_in","Year_out","Type","City","Organization","Unit","is_elite"
"1","Чиркунов",1958,NA,"Родился","Кировск, Мурманская область, РФ",NA,NA,"до"
"2","Чиркунов",1967,1974,"Учеба","Пермь, Пермский край, РФ","Школа № 127",NA,"до"
"3","Чиркунов",1974,1976,"Учеба","Пермь, Пермский край, РФ","Школа № 9",NA,"до"
"4","Чиркунов",1976,1981,"Учеба","Пермь, Пермский край, РФ","Пермский национальный исследовательский политехнический университет","Факультет ""Авиадвигатели""","до"
"5","Чиркунов",1981,1983,"Работа","Пермь, Пермский край, РФ","Ленинский районный комитет ВЛКСМ",NA,"до"
"6","Чиркунов",1983,1985,"Учеба","Москва, РФ","Высшая школа КГБ СССР",NA,"до"
"7","Чиркунов",1985,1991,"Работа","Москва, РФ","Первое главное управление КГБ СССР",NA,"до"
"8","Чиркунов",1991,1994,"Работа","Швейцария","Торговое представительство России",NA,"до"
"9","Чиркунов",1994,2012,"Работа","Пермь, Пермский край, РФ","ООО «Группа предприятий „ЭКС“»",NA,"до"
"10","Чиркунов",1997,2001,"Работа","Пермь, Пермский край, РФ","Законодательное собрание Пермского края",NA,"до"
"11","Чиркунов",2001,2004,"Работа","Москва, РФ","Совет Федерации",NA,"до"
"12","Чиркунов",2004,2012,"Работа","Пермь, Пермский край, РФ","Администрация губернатора Пермского края","Губернатор","элита"
"13","Чиркунов",2007,2014,"Работа","Пермь, Пермский край, РФ","Высшая школа экономики",NA,"после"
"14","Чиркунов",2012,2021,"Работа","Швейцария","Norpexal Holding",NA,"после"
"15","Чиркунов",2012,2021,"Работа","Пермь, Пермский край, РФ","ООО ""Вилли-Пермь""",NA,"после"
"16","Чиркунов",2012,2021,"Работа","Пермь, Пермский край, РФ","ООО «Группа предприятий „ЭКС“»",NA,"после"
"17","Антипова",1960,NA,"Родился","Пермь, Пермский край, РФ",NA,NA,"до"
"18","Антипова",1977,1982,"Учеба","Пермь, Пермский край, РФ","Пермский национальный исследовательский политехнический университет","Строительный факультет","до"
"19","Антипова",1982,1992,"Работа","Пермь, Пермский край, РФ","Пермское проектно-строительное объединение",NA,"до"
"20","Антипова",1992,2006,"Работа","Пермь, Пермский край, РФ","Администрация города","Департамент градостроительства и архитектуры","до"
"21","Антипова",2006,2014,"Работа","Пермь, Пермский край, РФ","Инспекция государственного строительного надзора",NA,"элита"
"22","Бербер",1974,NA,"Родился","Пермь, Пермский край, РФ",NA,NA,"до"
"23","Бербер",1991,1996,"Учеба","Пермь, Пермский край, РФ","Пермский государственный университет","Экономический факультет","до"
"24","Бербер",1994,1997,"Работа","Пермь, Пермский край, РФ","«Западуралбанк»",NA,"до"
"25","Бербер",1997,1998,"Работа","Пермь, Пермский край, РФ","ОАО «Оптпродторг»",NA,"до"
"26","Бербер",1998,2001,"Работа","Пермь, Пермский край, РФ","Администрация города","Департамент образования","до"
"27","Бербер",2001,2004,"Работа","Пермь, Пермский край, РФ","МУП «Пермгоркоммунтепло»",NA,"до"
"28","Бербер",2004,2005,"Работа","Пермь, Пермский край, РФ","ОАО ""ТГК-9""",NA,"до"
"29","Бербер",2005,2006,"Работа","Пермь, Пермский край, РФ","Департамент социального развития Пермской области",NA,"до"
"30","Бербер",2006,2007,"Работа","Пермь, Пермский край, РФ","Аппарат Правительства Пермского края","Департамент развития человеческого потенциала","до"
"31","Бербер",2007,2008,"Работа","Пермь, Пермский край, РФ","Агентство по управлению социальными службами",NA,"элита"
"32","Бербер",2008,2010,"Работа","Пермь, Пермский край, РФ","Министерство социального развития",NA,"элита"
"33","Бербер",2010,2013,"Работа","Пермь, Пермский край, РФ","Правительство Пермского края",NA,"элита"
"34","Бербер",2013,2016,"Работа","Пермь, Пермский край, РФ","Администрация города","Руководство_f(x)","после"
"35","Бербер",2016,2017,"Работа","Пермь, Пермский край, РФ","ООО ""Активмедиа""",NA,"после"
"36","Бербер",2018,2021,"Работа","Москва, РФ","Департамента труда и социальной защиты населения города Москвы",NA,"после"
"37","Блусь",1962,NA,"Родился","Пермь, Пермский край, РФ",NA,NA,"до"
"38","Блусь",1980,1985,"Учеба","Пермь, Пермский край, РФ","Пермский государственный университет","Географический факультет","до"
"39","Блусь",1989,1994,"Работа","Пермь, Пермский край, РФ","Пермский государственный университет","Географический факультет","до"
"40","Блусь",1989,1994,"Работа","Пермь, Пермский край, РФ","Пермский государственный аграрно-технологический университет",NA,"до"
"41","Блусь",1995,2021,"Работа","Пермь, Пермский край, РФ","Пермский государственный университет","Географический факультет","до"
"42","Блусь",1992,2001,"Работа","Пермь, Пермский край, РФ","Администрация города","Департамент экономики и промышленной политики","до"
"43","Блусь",2001,2005,"Работа","Пермь, Пермский край, РФ","Администрация Пермской области","Комитет социальной защиты населения","до"
"44","Блусь",2005,2010,"Работа","Пермь, Пермский край, РФ","Аппарат Правительства Пермского края","Департамент развития человеческого потенциала","до"
"45","Блусь",2007,2013,"Работа","Пермь, Пермский край, РФ","Пермский государственный университет","Кафедра государственного и муниципального управления","до"
"46","Блусь",2010,2012,"Работа","Пермь, Пермский край, РФ","Министерство регионального развития",NA,"элита"
"47","Блусь",2012,2013,"Работа","Пермь, Пермский край, РФ","Министерство регионального развития",NA,"после"
"48","Блусь",2013,2021,"Работа","Пермь, Пермский край, РФ","Пермский государственный университет","Кафедра государственного и муниципального управления","после"
"49","Быкариз",1964,NA,"Родился","Уинское, Пермский край, РФ",NA,NA,"до"
