name;1907;1908;1909;1911;1912;1913;1914;1916
Allonge;;;;;;;;
Ferrari;;;;;;;;
LeFauconnier;;;;;;;;
PelicierG;;;;;;;;
Pomma;;;;;;;;
Raymondi;;;;;;;;
WoizyC;;1;;;;;;
АбрамовАИ;;;;;;;;
АбриЛ;;;;;;;;
АвеншепсГ;;;;;;;;
АветисьянГА;;;;;;;;
АвиловМИ;;;;;;;;
АгафоновЕА;;;;;;;;
АдамсонАИ;7;4;;;;;;
АдтКФ;;;;;;;;
АйвазовскийИК;;;;;;;;
АкимоваЮВ;;1;;;;;;
АкишинПИ;;;;;;;;
АккерЭ;;;;;;;;
АксенюкПД;;;;;;;;
АладжаловМХ;;;;;;;;
АлександроваЕВ;;;;;;;;
АлександровНН;;;;;;;;
АлександровскийСФ;;;;;;;;
Александров-ТитовскойНА;;;;;;;;
АлексеевАА;10;;;;54;7;;
АлексеевВВ;;;;;;;;
АлексеевВМ;;;;;;;;
АлексеевГД;;;;;;;;
АлексеевНВ;;;;;;;;
АлексоматиНХ;;;;;;;;
АлферьеваСВ;;;;;;;;
АльбрехтЛГ;;;;1;;;;
Альквист;;;;;;;;
Альстедт;;;;;;;;
АльтаманН;;;;;;;;
АльтенбергИГ;;;;;;;;
АльхимовичК;;;;;;;;
Аман-Жан;;;;;;;;
АммонВ;;;;;;;;
АммосовСН;;;;;;;;
АмосоваОФ;;;;;;;;
АндерсонЕК;;;;;;4;5;
АндреевВИ;;;;;;;;
АнзимироваНВ;;;;;;;;
АнисимовВК;;;;;;;;
АнисимовЮП;;;;;;;;
АнисфельдБИ;;;;;;;;
АничковАИ;;;;;;;;
Анкетэн;;;;;;;;
АнтокольскийММ;;;;;;;;
АнтоновАИ;1;1;;;;;;
Антропова;;;;;;;;
АнтроповИГ;;;;;;;;
АпостолиВА;;;;;;;;
АракелянС;;;;;;;;
АраповАА;;;;;;;;
АронсонНН;;;;;;;;
АрхиповАЕ;;;;;;;;
АрхиповСН;;;;;;;;
АрчиониГ;5;;;;;;;
АскназийИЛ;;;;;;;;
АстафьеваВЛ;;;;;;;;
АтрыганьевН;;;;;;;;
АтрыганьевНА;;;;;;;;
АуэрГД;;;;2;2;6;;9
АфанасьевАФ;;;;;;;;
АфанасьевВЯ;;;;;;;;
Афанасьев-Кокель;;;;;;;;
АхенбахГ;;;;;;;;
АхочинскаяЗП;;;;;;;;
БабутММ;;;1;5;6;3;14;9
Багратион-МухранскаяВН;;;;;;;;
БадовскийАФ;;;;;;;;
БаженовНВ;;;;;;;;
БажинНН;;;;;;;;
БакаловичСВ;5;3;2;4;;1;;
БаклундЭО;;;;;;;;
БакмансонГК;6;;29;49;8;21;9;
БакстЛС;;;;;;;;
БакшеевВН;;;;;;;;
БалашевПИ;;;;;;;;
БалкСМ;;3;1;;;2;1;
БаллодПП;;;;;;;;
БалльерАИ;;;;;;;;
БалунинМА;;;;;;;;6
Бальц;;;;;;;;
БарамзинЕВ;;;;;;;;
БарстельсГ;;;;;;;;
БартВС;;;;;;;;
БаруздинаВМ;;;;;;;;
БарынинАА;;;;;;;;
БасинПВ;;;;;;;;
